models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+gru+rf+tcn,4,0.585921,0.349383,0.437742,0.531723,566,400,1085,1054
cnn+gru+lgbm+lstm+rf,5,0.585837,0.337037,0.4279,0.529791,546,386,1099,1074
cnn+gru+lgbm+lstm+rf+tcn,6,0.585837,0.337037,0.4279,0.529791,546,386,1099,1074
catboost+cnn+xgb+cnn_lstm,4,0.585714,0.37963,0.460674,0.536232,615,435,1050,1005
cnn+gru+lgbm+logreg+lstm+rf+xgb,7,0.585482,0.378395,0.459693,0.53591,613,434,1051,1007
cnn+gru+lgbm+logreg+lstm+rf+tcn+xgb,8,0.585482,0.378395,0.459693,0.53591,613,434,1051,1007
cnn+rf+xgb+cnn_lstm,4,0.585366,0.311111,0.406288,0.525604,504,357,1128,1116
catboost+cnn+lstm+rf,4,0.585297,0.383333,0.46326,0.536554,621,440,1045,999
catboost+lgbm+logreg+lstm,4,0.585278,0.402469,0.476957,0.539452,652,462,1023,968
gru+lgbm+rf+xgb+cnn_lstm,5,0.585213,0.288272,0.38627,0.522061,467,331,1154,1153
gru+lgbm+rf+tcn+xgb+cnn_lstm,6,0.585213,0.288272,0.38627,0.522061,467,331,1154,1153
catboost+cnn+gru+xgb+cnn_lstm,5,0.584995,0.380247,0.460905,0.53591,616,437,1048,1004
catboost+cnn+gru+tcn+xgb+cnn_lstm,6,0.584995,0.380247,0.460905,0.53591,616,437,1048,1004
cnn+lgbm+lstm+rf+xgb+cnn_lstm,6,0.584867,0.353086,0.440339,0.531723,572,406,1079,1048
catboost+gru+lgbm+logreg+lstm,5,0.584753,0.402469,0.476782,0.53913,652,463,1022,968
catboost+gru+lgbm+logreg+lstm+tcn,6,0.584753,0.402469,0.476782,0.53913,652,463,1022,968
cnn+lgbm+lstm+xgb,4,0.584699,0.330247,0.422091,0.52818,535,380,1105,1085
cnn+gru+lgbm+lstm+rf+xgb+cnn_lstm,7,0.584694,0.353704,0.440769,0.531723,573,407,1078,1047
cnn+gru+lgbm+lstm+rf+tcn+xgb+cnn_lstm,8,0.584694,0.353704,0.440769,0.531723,573,407,1078,1047
catboost+lgbm+lstm+rf+cnn_lstm,5,0.584667,0.428395,0.494478,0.542995,694,493,992,926
catboost+lgbm+lstm+rf+tcn+cnn_lstm,6,0.584667,0.428395,0.494478,0.542995,694,493,992,926
catboost+cnn+gru+lstm+rf,5,0.584586,0.383951,0.463487,0.536232,622,442,1043,998
catboost+cnn+gru+lstm+rf+tcn,6,0.584586,0.383951,0.463487,0.536232,622,442,1043,998
catboost+gru+lgbm+lstm+rf+tcn+cnn_lstm,7,0.584525,0.429012,0.494838,0.542995,695,494,991,925
cnn+gru+lgbm+lstm+xgb,5,0.584515,0.330864,0.422546,0.52818,536,381,1104,1084
cnn+gru+lgbm+lstm+tcn+xgb,6,0.584515,0.330864,0.422546,0.52818,536,381,1104,1084
cnn+gru+rf+xgb+cnn_lstm,5,0.584491,0.311728,0.406602,0.525282,505,359,1126,1115
cnn+gru+rf+tcn+xgb+cnn_lstm,6,0.584491,0.311728,0.406602,0.525282,505,359,1126,1115
catboost+cnn+lgbm+lstm,4,0.58444,0.380247,0.460733,0.535588,616,438,1047,1004
catboost+lgbm+rf+xgb,4,0.584318,0.335802,0.426499,0.528824,544,387,1098,1076
catboost+gru+lgbm+rf+xgb,5,0.584318,0.335802,0.426499,0.528824,544,387,1098,1076
catboost+gru+lgbm+rf+tcn+xgb,6,0.584318,0.335802,0.426499,0.528824,544,387,1098,1076
catboost+cnn+gru+lgbm+lstm,5,0.58428,0.380864,0.461136,0.535588,617,439,1046,1003
catboost+cnn+gru+lgbm+lstm+tcn,6,0.58428,0.380864,0.461136,0.535588,617,439,1046,1003
logreg+lstm,2,0.584259,0.389506,0.467407,0.536876,631,449,1036,989
catboost+cnn,2,0.584149,0.368519,0.45193,0.533655,597,425,1060,1023
catboost+gru+logreg+rf,4,0.584127,0.340741,0.430409,0.529469,552,393,1092,1068
catboost+lgbm+logreg+lstm+rf+xgb,6,0.584112,0.385802,0.464684,0.536232,625,445,1040,995
catboost+gru+lgbm+logreg+lstm+rf+xgb,7,0.584112,0.385802,0.464684,0.536232,625,445,1040,995
catboost+gru+lgbm+logreg+lstm+rf+tcn+xgb,8,0.584112,0.385802,0.464684,0.536232,625,445,1040,995
catboost+cnn+lgbm+lstm+rf+xgb+cnn_lstm,7,0.584085,0.439506,0.501585,0.544283,712,507,978,908
catboost+cnn+lgbm+lstm+rf+tcn+xgb+cnn_lstm,8,0.584085,0.439506,0.501585,0.544283,712,507,978,908
catboost+cnn+gru+lgbm+lstm+rf+tcn+xgb+cnn_lstm,9,0.583948,0.440123,0.501936,0.544283,713,508,977,907
catboost+cnn+gru+logreg,4,0.583934,0.35,0.437669,0.530757,567,404,1081,1053
catboost+gru+logreg+lstm+rf+xgb,6,0.583767,0.346296,0.434715,0.530113,561,400,1085,1059
lgbm+logreg+xgb+cnn_lstm,4,0.583696,0.331481,0.422835,0.527858,537,383,1102,1083
catboost+cnn+lstm+xgb,4,0.583647,0.383333,0.462742,0.535588,621,443,1042,999
catboost+gru+logreg+rf+xgb+cnn_lstm,6,0.5836,0.338272,0.428292,0.528824,548,391,1094,1072
gru+logreg+lstm,3,0.583564,0.390123,0.467629,0.536554,632,451,1034,988
gru+logreg+lstm+tcn,4,0.583564,0.390123,0.467629,0.536554,632,451,1034,988
catboost+cnn+lgbm+cnn_lstm,4,0.583491,0.37963,0.459985,0.534944,615,439,1046,1005
logreg+lstm+rf+cnn_lstm,4,0.583486,0.392593,0.469373,0.536876,636,454,1031,984
cnn+lgbm+logreg+rf,4,0.583417,0.360494,0.445631,0.532045,584,417,1068,1036
catboost+cnn+gru+logreg+lstm+xgb,6,0.583416,0.364815,0.448918,0.532689,591,422,1063,1029
catboost+cnn+gru,3,0.583415,0.369136,0.452174,0.533333,598,427,1058,1022
catboost+cnn+gru+tcn,4,0.583415,0.369136,0.452174,0.533333,598,427,1058,1022
catboost+logreg+lstm+cnn_lstm,4,0.583399,0.459877,0.514325,0.54686,745,532,953,875
cnn+lstm+rf+cnn_lstm,4,0.583333,0.384568,0.463542,0.535588,623,445,1040,997
cnn+gru+lstm+rf+cnn_lstm,5,0.583333,0.384568,0.463542,0.535588,623,445,1040,997
cnn+gru+lstm+rf+tcn+cnn_lstm,6,0.583333,0.384568,0.463542,0.535588,623,445,1040,997
catboost+cnn+gru+lgbm+cnn_lstm,5,0.583333,0.380247,0.460389,0.534944,616,440,1045,1004
catboost+cnn+gru+lgbm+tcn+cnn_lstm,6,0.583333,0.380247,0.460389,0.534944,616,440,1045,1004
cnn+gru+lgbm+logreg+rf+xgb,6,0.583333,0.289506,0.386964,0.521417,469,335,1150,1151
cnn+lgbm+logreg+lstm+rf+cnn_lstm,6,0.583186,0.40679,0.479273,0.538808,659,471,1014,961
catboost+rf+xgb+cnn_lstm,4,0.583072,0.344444,0.433062,0.529469,558,399,1086,1062
catboost+gru+rf+xgb+cnn_lstm,5,0.583072,0.344444,0.433062,0.529469,558,399,1086,1062
catboost+gru+rf+tcn+xgb+cnn_lstm,6,0.583072,0.344444,0.433062,0.529469,558,399,1086,1062
gru+lgbm+logreg+xgb+cnn_lstm,5,0.583062,0.331481,0.422668,0.527536,537,384,1101,1083
gru+lgbm+logreg+tcn+xgb+cnn_lstm,6,0.583062,0.331481,0.422668,0.527536,537,384,1101,1083
cnn+gru+lgbm+logreg+lstm+rf+cnn_lstm,7,0.583039,0.407407,0.479651,0.538808,660,472,1013,960
cnn+gru+lgbm+logreg+lstm+rf+tcn+cnn_lstm,8,0.583039,0.407407,0.479651,0.538808,660,472,1013,960
catboost+cnn+lgbm+logreg+rf+xgb,6,0.583029,0.394444,0.470545,0.536876,639,457,1028,981
catboost+cnn+gru+lgbm+logreg+rf+xgb,7,0.583029,0.394444,0.470545,0.536876,639,457,1028,981
catboost+cnn+gru+lgbm+logreg+rf+tcn+xgb,8,0.583029,0.394444,0.470545,0.536876,639,457,1028,981
catboost+cnn+gru+lstm+xgb,5,0.582943,0.383951,0.46297,0.535266,622,445,1040,998
catboost+cnn+gru+lstm+tcn+xgb,6,0.582943,0.383951,0.46297,0.535266,622,445,1040,998
lgbm+logreg+rf+xgb,4,0.582893,0.340741,0.430074,0.528824,552,395,1090,1068
gru+lgbm+logreg+rf+xgb,5,0.582893,0.340741,0.430074,0.528824,552,395,1090,1068
gru+lgbm+logreg+rf+tcn+xgb,6,0.582893,0.340741,0.430074,0.528824,552,395,1090,1068
cnn+gru+lgbm+logreg+rf,5,0.582834,0.360494,0.445461,0.531723,584,418,1067,1036
cnn+gru+lgbm+logreg+rf+tcn,6,0.582834,0.360494,0.445461,0.531723,584,418,1067,1036
catboost+gru+logreg+lstm+cnn_lstm,5,0.582812,0.460494,0.514483,0.546538,746,534,951,874
catboost+gru+logreg+lstm+tcn+cnn_lstm,6,0.582812,0.460494,0.514483,0.546538,746,534,951,874
gru+logreg+lstm+rf+cnn_lstm,5,0.5828,0.39321,0.469591,0.536554,637,456,1029,983
gru+logreg+lstm+rf+tcn+cnn_lstm,6,0.5828,0.39321,0.469591,0.536554,637,456,1029,983
lgbm+lstm+xgb,3,0.582775,0.375926,0.457036,0.533977,609,436,1049,1011
lgbm+lstm+tcn+xgb,4,0.582775,0.375926,0.457036,0.533977,609,436,1049,1011
gru+lgbm+lstm+tcn+xgb,5,0.582617,0.376543,0.457443,0.533977,610,437,1048,1010
catboost+cnn+lgbm+logreg+xgb+cnn_lstm,6,0.582483,0.42284,0.489986,0.540741,685,491,994,935
catboost+cnn+logreg+rf+xgb+cnn_lstm,6,0.582353,0.427778,0.493238,0.541385,693,497,988,927
catboost+cnn+gru+logreg+rf+xgb+cnn_lstm,7,0.582353,0.427778,0.493238,0.541385,693,497,988,927
catboost+cnn+gru+logreg+rf+tcn+xgb+cnn_lstm,8,0.582353,0.427778,0.493238,0.541385,693,497,988,927
catboost+lgbm+logreg+rf,4,0.582337,0.390741,0.467676,0.53591,633,454,1031,987
catboost+gru+lgbm+logreg+rf,5,0.582337,0.390741,0.467676,0.53591,633,454,1031,987
catboost+gru+lgbm+logreg+rf+tcn,6,0.582337,0.390741,0.467676,0.53591,633,454,1031,987
lgbm+logreg+lstm+cnn_lstm,4,0.582218,0.375926,0.456864,0.533655,609,437,1048,1011
cnn+lgbm+rf+cnn_lstm,4,0.582123,0.321605,0.414314,0.525604,521,374,1111,1099
gru+lgbm+logreg+lstm+cnn_lstm,5,0.582061,0.376543,0.457271,0.533655,610,438,1047,1010
gru+lgbm+logreg+lstm+tcn+cnn_lstm,6,0.582061,0.376543,0.457271,0.533655,610,438,1047,1010
catboost+cnn+gru+lgbm+logreg+xgb+cnn_lstm,7,0.581988,0.42284,0.489811,0.540419,685,492,993,935
catboost+cnn+gru+lgbm+logreg+tcn+xgb+cnn_lstm,8,0.581988,0.42284,0.489811,0.540419,685,492,993,935
catboost+lstm+rf+xgb,4,0.581967,0.350617,0.437596,0.529791,568,408,1077,1052
catboost+gru+lstm+rf+xgb,5,0.581967,0.350617,0.437596,0.529791,568,408,1077,1052
catboost+gru+lstm+rf+tcn+xgb,6,0.581967,0.350617,0.437596,0.529791,568,408,1077,1052
cnn+gru+lgbm+rf+cnn_lstm,5,0.58194,0.322222,0.414779,0.525604,522,375,1110,1098
cnn+gru+lgbm+rf+tcn+cnn_lstm,6,0.58194,0.322222,0.414779,0.525604,522,375,1110,1098
catboost+cnn+lgbm+logreg+lstm+xgb,6,0.581897,0.416667,0.485612,0.539452,675,485,1000,945
lgbm+rf+cnn_lstm,3,0.581852,0.383951,0.462626,0.534622,622,447,1038,998
lgbm+rf+tcn+cnn_lstm,4,0.581852,0.383951,0.462626,0.534622,622,447,1038,998
gru+lgbm+rf+tcn+cnn_lstm,5,0.581699,0.384568,0.463025,0.534622,623,448,1037,997
catboost+rf+cnn_lstm,3,0.581689,0.454938,0.510565,0.544928,737,530,955,883
catboost+rf+tcn+cnn_lstm,4,0.581689,0.454938,0.510565,0.544928,737,530,955,883
gru+lgbm+cnn_lstm,3,0.581538,0.233333,0.33304,0.512399,378,272,1213,1242
gru+lgbm+tcn+cnn_lstm,4,0.581538,0.233333,0.33304,0.512399,378,272,1213,1242
lgbm+logreg+rf+xgb+cnn_lstm,5,0.581475,0.418519,0.486719,0.539452,678,488,997,942
lgbm+logreg+rf+tcn+xgb+cnn_lstm,6,0.581475,0.418519,0.486719,0.539452,678,488,997,942
lgbm+lstm+rf,3,0.581461,0.383333,0.462054,0.5343,621,447,1038,999
lgbm+lstm+rf+tcn,4,0.581461,0.383333,0.462054,0.5343,621,447,1038,999
catboost+cnn+lgbm+logreg+lstm+rf,6,0.581456,0.414198,0.483778,0.538808,671,483,1002,949
catboost+cnn+gru+lgbm+logreg+lstm+xgb,7,0.581395,0.416667,0.485437,0.53913,675,486,999,945
catboost+cnn+gru+lgbm+logreg+lstm+tcn+xgb,8,0.581395,0.416667,0.485437,0.53913,675,486,999,945
logreg+rf+xgb,3,0.581395,0.401235,0.474799,0.536876,650,468,1017,970
logreg+rf+tcn+xgb,4,0.581395,0.401235,0.474799,0.536876,650,468,1017,970
catboost+lgbm+lstm+rf+xgb,5,0.581395,0.401235,0.474799,0.536876,650,468,1017,970
gru+logreg+rf+tcn+xgb,5,0.581395,0.401235,0.474799,0.536876,650,468,1017,970
catboost+lgbm+lstm+rf+tcn+xgb,6,0.581395,0.401235,0.474799,0.536876,650,468,1017,970
gru+lgbm+lstm+rf+tcn,5,0.581308,0.383951,0.462454,0.5343,622,448,1037,998
logreg+rf+xgb+cnn_lstm,4,0.581276,0.348765,0.435957,0.529147,565,407,1078,1055
gru+logreg+rf+xgb+cnn_lstm,5,0.581276,0.348765,0.435957,0.529147,565,407,1078,1055
gru+logreg+rf+tcn+xgb+cnn_lstm,6,0.581276,0.348765,0.435957,0.529147,565,407,1078,1055
cnn+lgbm+logreg+rf+xgb+cnn_lstm,6,0.581238,0.370988,0.452901,0.532367,601,433,1052,1019
catboost+logreg+rf+xgb,4,0.581221,0.382099,0.46108,0.533977,619,446,1039,1001
catboost+gru+logreg+rf+xgb,5,0.581221,0.382099,0.46108,0.533977,619,446,1039,1001
catboost+gru+logreg+rf+tcn+xgb,6,0.581221,0.382099,0.46108,0.533977,619,446,1039,1001
catboost+lgbm+rf,3,0.581189,0.404321,0.476884,0.537198,655,472,1013,965
catboost+lgbm+rf+tcn,4,0.581189,0.404321,0.476884,0.537198,655,472,1013,965
catboost+cnn+lgbm+logreg,4,0.581161,0.426543,0.49199,0.540419,691,498,987,929
lgbm+cnn_lstm,2,0.581144,0.232099,0.331716,0.512077,376,271,1214,1244
cnn+lstm+xgb+cnn_lstm,4,0.581132,0.380247,0.459701,0.533655,616,444,1041,1004
cnn+gru+lstm+xgb+cnn_lstm,5,0.581132,0.380247,0.459701,0.533655,616,444,1041,1004
cnn+gru+lstm+tcn+xgb+cnn_lstm,6,0.581132,0.380247,0.459701,0.533655,616,444,1041,1004
catboost+gru+rf+tcn+cnn_lstm,5,0.581102,0.455556,0.510727,0.544605,738,532,953,882
cnn+logreg+lstm+rf+xgb+cnn_lstm,6,0.58101,0.411728,0.481936,0.538164,667,481,1004,953
gru+lgbm+logreg+rf+tcn+xgb+cnn_lstm,7,0.580977,0.418519,0.486545,0.53913,678,489,996,942
cnn+gru+lstm+cnn_lstm,4,0.580966,0.252469,0.351979,0.514976,409,295,1190,1211
catboost+lgbm+xgb,3,0.580961,0.403086,0.475948,0.536876,653,471,1014,967
catboost+lgbm+tcn+xgb,4,0.580961,0.403086,0.475948,0.536876,653,471,1014,967
catboost+cnn+gru+lgbm+logreg+lstm+rf,7,0.580952,0.414198,0.483604,0.538486,671,484,1001,949
catboost+cnn+gru+lgbm+logreg+lstm+rf+tcn,8,0.580952,0.414198,0.483604,0.538486,671,484,1001,949
catboost+cnn+gru+logreg+rf+xgb,6,0.580943,0.35,0.436826,0.529147,567,409,1076,1053
catboost+gru+lgbm+lstm+rf+tcn+xgb,7,0.580876,0.401235,0.474626,0.536554,650,469,1016,970
catboost+lgbm+logreg+rf+xgb,5,0.580782,0.421605,0.488555,0.539452,683,493,992,937
catboost+lgbm+logreg+rf+tcn+xgb,6,0.580782,0.421605,0.488555,0.539452,683,493,992,937
catboost+gru+lgbm+logreg+rf+tcn+xgb,7,0.580782,0.421605,0.488555,0.539452,683,493,992,937
catboost+logreg+rf+cnn_lstm,4,0.58075,0.439506,0.500351,0.542029,712,514,971,908
catboost+gru+logreg+rf+cnn_lstm,5,0.58075,0.439506,0.500351,0.542029,712,514,971,908
catboost+gru+logreg+rf+tcn+cnn_lstm,6,0.58075,0.439506,0.500351,0.542029,712,514,971,908
gru+lgbm+xgb,3,0.580741,0.241975,0.341612,0.513366,392,283,1202,1228
gru+lgbm+tcn+xgb,4,0.580741,0.241975,0.341612,0.513366,392,283,1202,1228
cnn+gru+lgbm+logreg+rf+xgb+cnn_lstm,7,0.580676,0.370988,0.452731,0.532045,601,434,1051,1019
cnn+gru+lgbm+logreg+rf+tcn+xgb+cnn_lstm,8,0.580676,0.370988,0.452731,0.532045,601,434,1051,1019
catboost+gru+lgbm+rf+tcn,5,0.580674,0.404321,0.47671,0.536876,655,473,1012,965
catboost+cnn+gru+lgbm+logreg,5,0.580672,0.426543,0.491815,0.540097,691,499,986,929
catboost+cnn+gru+lgbm+logreg+tcn,6,0.580672,0.426543,0.491815,0.540097,691,499,986,929
rf+tcn,2,0.580613,0.362346,0.446218,0.530757,587,424,1061,1033
logreg+lstm+rf+xgb,4,0.580581,0.358025,0.442917,0.530113,580,419,1066,1040
gru+logreg+lstm+rf+xgb,5,0.580581,0.358025,0.442917,0.530113,580,419,1066,1040
gru+logreg+lstm+rf+tcn+xgb,6,0.580581,0.358025,0.442917,0.530113,580,419,1066,1040
cnn+xgb,2,0.580508,0.253704,0.353093,0.514976,411,297,1188,1209
catboost+gru+lgbm+tcn+xgb,5,0.580444,0.403086,0.475774,0.536554,653,472,1013,967
cnn+gru+logreg+lstm+rf+xgb+cnn_lstm,7,0.580365,0.412346,0.482136,0.537842,668,483,1002,952
cnn+gru+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.580365,0.412346,0.482136,0.537842,668,483,1002,952
lgbm+xgb,2,0.580357,0.240741,0.340314,0.513043,390,282,1203,1230
lgbm+logreg+lstm+xgb+cnn_lstm,5,0.580237,0.453086,0.508839,0.543639,734,531,954,886
lgbm+logreg+lstm+tcn+xgb+cnn_lstm,6,0.580237,0.453086,0.508839,0.543639,734,531,954,886
cnn+lgbm+logreg+lstm+xgb+cnn_lstm,6,0.580159,0.404321,0.476537,0.536554,655,474,1011,965
gru+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,7,0.58011,0.453704,0.509179,0.543639,735,532,953,885
catboost+logreg+lstm+xgb,4,0.580087,0.41358,0.482883,0.537842,670,485,1000,950
catboost+cnn+lgbm+rf+xgb,5,0.580087,0.41358,0.482883,0.537842,670,485,1000,950
catboost+gru+logreg+lstm+xgb,5,0.580087,0.41358,0.482883,0.537842,670,485,1000,950
catboost+cnn+lgbm+rf+tcn+xgb,6,0.580087,0.41358,0.482883,0.537842,670,485,1000,950
catboost+gru+logreg+lstm+tcn+xgb,6,0.580087,0.41358,0.482883,0.537842,670,485,1000,950
catboost+cnn+rf+xgb,4,0.58006,0.355556,0.440873,0.529469,576,417,1068,1044
catboost+cnn+gru+rf+xgb,5,0.58006,0.355556,0.440873,0.529469,576,417,1068,1044
catboost+cnn+gru+rf+tcn+xgb,6,0.58006,0.355556,0.440873,0.529469,576,417,1068,1044
cnn+gru+xgb,3,0.580056,0.254938,0.354202,0.514976,413,299,1186,1207
cnn+gru+tcn+xgb,4,0.580056,0.254938,0.354202,0.514976,413,299,1186,1207
cnn+gru+lgbm+logreg+lstm+xgb+cnn_lstm,7,0.580018,0.404938,0.476917,0.536554,656,475,1010,964
cnn+gru+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,8,0.580018,0.404938,0.476917,0.536554,656,475,1010,964
gru+rf+tcn,3,0.579882,0.362963,0.446469,0.530435,588,426,1059,1032
catboost+rf+xgb,3,0.579817,0.390123,0.466421,0.5343,632,458,1027,988
catboost+rf+tcn+xgb,4,0.579817,0.390123,0.466421,0.5343,632,458,1027,988
catboost+gru+rf+tcn+xgb,5,0.579817,0.390123,0.466421,0.5343,632,458,1027,988
catboost+gru+logreg+xgb,4,0.579762,0.300617,0.395935,0.521417,487,353,1132,1133
catboost+cnn+lstm+cnn_lstm,4,0.579675,0.440123,0.500351,0.541385,713,517,968,907
catboost+cnn+gru+lstm+cnn_lstm,5,0.579675,0.440123,0.500351,0.541385,713,517,968,907
catboost+cnn+gru+lstm+tcn+cnn_lstm,6,0.579675,0.440123,0.500351,0.541385,713,517,968,907
catboost+cnn+lgbm+logreg+rf+xgb+cnn_lstm,7,0.579632,0.467284,0.51743,0.54525,757,549,936,863
catboost+cnn+lgbm+logreg+rf+tcn+xgb+cnn_lstm,8,0.579632,0.467284,0.51743,0.54525,757,549,936,863
cnn+lgbm+rf+xgb,4,0.579625,0.305556,0.400162,0.522061,495,359,1126,1125
catboost+cnn+rf+xgb+cnn_lstm,5,0.579618,0.449383,0.506259,0.542673,728,528,957,892
catboost+cnn+rf+tcn+xgb+cnn_lstm,6,0.579618,0.449383,0.506259,0.542673,728,528,957,892
catboost+cnn+gru+lgbm+rf+tcn+xgb,7,0.579585,0.41358,0.482709,0.53752,670,486,999,950
catboost+cnn+gru+lgbm+logreg+rf+tcn+xgb+cnn_lstm,9,0.579189,0.467284,0.517253,0.544928,757,550,935,863
catboost+gru+rf+xgb,4,0.579085,0.273457,0.371488,0.51723,443,322,1163,1177
catboost+cnn+gru+rf+tcn+xgb+cnn_lstm,7,0.579031,0.45,0.506426,0.542351,729,530,955,891
cnn+gru+lgbm+rf+xgb,5,0.578947,0.305556,0.4,0.521739,495,360,1125,1125
cnn+gru+lgbm+rf+tcn+xgb,6,0.578947,0.305556,0.4,0.521739,495,360,1125,1125
cnn+lgbm+lstm+cnn_lstm,4,0.578799,0.380864,0.459419,0.532367,617,449,1036,1003
cnn+gru+lgbm+lstm+cnn_lstm,5,0.578799,0.380864,0.459419,0.532367,617,449,1036,1003
cnn+gru+lgbm+lstm+tcn+cnn_lstm,6,0.578799,0.380864,0.459419,0.532367,617,449,1036,1003
rf+xgb+cnn_lstm,3,0.578797,0.374074,0.454443,0.531401,606,441,1044,1014
rf+tcn+xgb+cnn_lstm,4,0.578797,0.374074,0.454443,0.531401,606,441,1044,1014
catboost+lgbm+logreg+lstm+rf+xgb+cnn_lstm,7,0.578692,0.442593,0.501574,0.541063,717,522,963,903
catboost+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.578692,0.442593,0.501574,0.541063,717,522,963,903
catboost+cnn+logreg+rf,4,0.578652,0.445062,0.50314,0.541385,721,525,960,899
catboost+cnn+gru+logreg+rf,5,0.578652,0.445062,0.50314,0.541385,721,525,960,899
catboost+cnn+gru+logreg+rf+tcn,6,0.578652,0.445062,0.50314,0.541385,721,525,960,899
catboost+lstm+rf+xgb+cnn_lstm,5,0.57859,0.42037,0.48695,0.537842,681,496,989,939
catboost+lstm+rf+tcn+xgb+cnn_lstm,6,0.57859,0.42037,0.48695,0.537842,681,496,989,939
catboost+lstm+xgb,3,0.578472,0.434568,0.496299,0.539775,704,513,972,916
catboost+lstm+tcn+xgb,4,0.578472,0.434568,0.496299,0.539775,704,513,972,916
catboost+cnn+logreg+lstm+rf+cnn_lstm,6,0.57837,0.455556,0.509669,0.542673,738,538,947,882
catboost+gru+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,9,0.578226,0.442593,0.501399,0.540741,717,523,962,903
gru+rf+tcn+xgb+cnn_lstm,5,0.578095,0.374691,0.454682,0.531079,607,443,1042,1013
catboost+gru+lstm+rf+tcn+xgb+cnn_lstm,7,0.577966,0.420988,0.487143,0.53752,682,498,987,938
catboost+gru+lstm+tcn+xgb,5,0.577869,0.435185,0.496479,0.539452,705,515,970,915
catboost+cnn+rf,3,0.577847,0.460494,0.512539,0.542995,746,545,940,874
catboost+cnn+rf+tcn,4,0.577847,0.460494,0.512539,0.542995,746,545,940,874
catboost+cnn+gru+logreg+lstm+rf+cnn_lstm,7,0.577795,0.456173,0.509831,0.542351,739,540,945,881
catboost+cnn+gru+logreg+lstm+rf+tcn+cnn_lstm,8,0.577795,0.456173,0.509831,0.542351,739,540,945,881
cnn+lgbm+logreg+lstm+rf+xgb+cnn_lstm,7,0.57776,0.458642,0.511356,0.542673,743,543,942,877
cnn+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.57776,0.458642,0.511356,0.542673,743,543,942,877
cnn+gru+lgbm+cnn_lstm,4,0.577697,0.195062,0.291647,0.505636,316,231,1254,1304
catboost+logreg+xgb+cnn_lstm,4,0.577666,0.424691,0.489506,0.537842,688,503,982,932
catboost+gru+logreg+xgb+cnn_lstm,5,0.577666,0.424691,0.489506,0.537842,688,503,982,932
catboost+gru+logreg+tcn+xgb+cnn_lstm,6,0.577666,0.424691,0.489506,0.537842,688,503,982,932
lstm+rf+xgb,3,0.577652,0.376543,0.455904,0.531079,610,446,1039,1010
lstm+rf+tcn+xgb,4,0.577652,0.376543,0.455904,0.531079,610,446,1039,1010
cnn+gru+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,9,0.57764,0.459259,0.511692,0.542673,744,544,941,876
catboost+logreg+lstm+rf,4,0.577586,0.41358,0.482014,0.536232,670,490,995,950
catboost+gru+logreg+lstm+rf,5,0.577586,0.41358,0.482014,0.536232,670,490,995,950
catboost+gru+logreg+lstm+rf+tcn,6,0.577586,0.41358,0.482014,0.536232,670,490,995,950
catboost+logreg+rf+xgb+cnn_lstm,5,0.577487,0.462346,0.513541,0.542995,749,548,937,871
catboost+logreg+rf+tcn+xgb+cnn_lstm,6,0.577487,0.462346,0.513541,0.542995,749,548,937,871
catboost+gru+logreg+rf+tcn+xgb+cnn_lstm,7,0.577487,0.462346,0.513541,0.542995,749,548,937,871
logreg+rf,2,0.577436,0.347531,0.433911,0.526892,563,412,1073,1057
gru+logreg+rf,3,0.577436,0.347531,0.433911,0.526892,563,412,1073,1057
gru+logreg+rf+tcn,4,0.577436,0.347531,0.433911,0.526892,563,412,1073,1057
catboost+cnn+logreg+lstm+xgb+cnn_lstm,6,0.577399,0.460494,0.512363,0.542673,746,546,939,874
catboost+gru+xgb,3,0.577367,0.308642,0.402253,0.521417,500,366,1119,1120
catboost+gru+tcn+xgb,4,0.577367,0.308642,0.402253,0.521417,500,366,1119,1120
catboost+cnn+gru+rf+tcn,5,0.57728,0.461111,0.512697,0.542673,747,547,938,873
catboost+logreg+lstm+rf+xgb+cnn_lstm,6,0.577265,0.401235,0.473416,0.5343,650,476,1009,970
catboost+gru+logreg+lstm+rf+xgb+cnn_lstm,7,0.577265,0.401235,0.473416,0.5343,650,476,1009,970
catboost+gru+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.577265,0.401235,0.473416,0.5343,650,476,1009,970
catboost+cnn+lgbm+logreg+lstm+cnn_lstm,6,0.577138,0.445679,0.502961,0.540419,722,529,956,898
catboost+cnn+gru+lgbm+logreg+lstm+cnn_lstm,7,0.577015,0.446296,0.503307,0.540419,723,530,955,897
catboost+cnn+gru+lgbm+logreg+lstm+tcn+cnn_lstm,8,0.577015,0.446296,0.503307,0.540419,723,530,955,897
gru+lstm+rf+tcn+xgb,5,0.576959,0.37716,0.45614,0.530757,611,448,1037,1009
catboost+xgb,2,0.576879,0.308025,0.40161,0.521095,499,366,1119,1121
