models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+lgbm+rf+cnn_lstm,4,0.6,0.335185,0.430099,0.536554,543,362,1123,1077
catboost+cnn+gru+lgbm+lstm+rf+xgb+cnn_lstm,8,0.6,0.325926,0.4224,0.534944,528,352,1133,1092
gru+rf+xgb+cnn_lstm,4,0.6,0.17037,0.265385,0.50789,276,184,1301,1344
catboost+gru,2,0.6,0.001852,0.003692,0.478583,3,2,1483,1617
gru+logreg,2,0.6,0.001852,0.003692,0.478583,3,2,1483,1617
gru+rf,2,0.6,0.001852,0.003692,0.478583,3,2,1483,1617
catboost+cnn+gru+lgbm+logreg+lstm+rf+cnn_lstm,8,0.599602,0.371605,0.458841,0.542673,602,402,1083,1018
catboost+gru+lstm+xgb+cnn_lstm,5,0.5996,0.369753,0.457426,0.542351,599,400,1085,1021
catboost+gru+lstm+tcn+xgb+cnn_lstm,6,0.5996,0.369753,0.457426,0.542351,599,400,1085,1021
catboost+lgbm+lstm+xgb,4,0.599345,0.338889,0.432965,0.536876,549,367,1118,1071
catboost+gru+lgbm+rf+cnn_lstm,5,0.599338,0.335185,0.429929,0.536232,543,363,1122,1077
catboost+gru+lgbm+rf+tcn+cnn_lstm,6,0.599338,0.335185,0.429929,0.536232,543,363,1122,1077
gru+logreg+lstm+xgb,4,0.598829,0.252469,0.355189,0.521739,409,274,1211,1211
catboost+gru+lgbm+lstm+xgb,5,0.598691,0.338889,0.432795,0.536554,549,368,1117,1071
catboost+gru+lgbm+lstm+tcn+xgb,6,0.598691,0.338889,0.432795,0.536554,549,368,1117,1071
catboost+gru+lgbm+logreg+xgb+cnn_lstm,6,0.598558,0.307407,0.406199,0.531079,498,334,1151,1122
gru+logreg+lstm+rf+xgb+cnn_lstm,6,0.598558,0.307407,0.406199,0.531079,498,334,1151,1122
lgbm+lstm+rf+xgb,4,0.598109,0.312346,0.410381,0.531723,506,340,1145,1114
cnn+gru+lgbm+lstm+rf+xgb,6,0.597544,0.27037,0.372291,0.524316,438,295,1190,1182
gru+logreg+lstm+cnn_lstm,4,0.597484,0.234568,0.336879,0.518196,380,256,1229,1240
gru+lgbm+lstm+rf+xgb,5,0.597403,0.312346,0.410215,0.531401,506,341,1144,1114
gru+lgbm+lstm+rf+tcn+xgb,6,0.597403,0.312346,0.410215,0.531401,506,341,1144,1114
lstm+rf+xgb+cnn_lstm,4,0.597254,0.322222,0.418605,0.533011,522,352,1133,1098
cnn+gru+lgbm+lstm+xgb+cnn_lstm,6,0.597203,0.26358,0.365739,0.523027,427,288,1197,1193
catboost+cnn+gru+lgbm+logreg+lstm+xgb+cnn_lstm,8,0.59718,0.366049,0.453884,0.540419,593,400,1085,1027
catboost+cnn+gru+lgbm+logreg+cnn_lstm,6,0.597031,0.347531,0.439329,0.537198,563,380,1105,1057
catboost+gru+lstm+xgb,4,0.596726,0.247531,0.349913,0.520129,401,271,1214,1219
cnn+gru+logreg+lstm+xgb+cnn_lstm,6,0.59661,0.325926,0.421557,0.533333,528,357,1128,1092
gru+lstm+rf+xgb+cnn_lstm,5,0.596351,0.32284,0.418903,0.532689,523,354,1131,1097
gru+lstm+rf+tcn+xgb+cnn_lstm,6,0.596351,0.32284,0.418903,0.532689,523,354,1131,1097
cnn+gru+lgbm+lstm+rf+cnn_lstm,6,0.596206,0.271605,0.373198,0.523994,440,298,1187,1180
cnn+gru+logreg+xgb,4,0.59588,0.232099,0.334074,0.51723,376,255,1230,1244
catboost+cnn+gru+xgb,4,0.595847,0.230247,0.332146,0.516908,373,253,1232,1247
catboost+cnn+rf+cnn_lstm,4,0.595765,0.382099,0.465589,0.542351,619,420,1065,1001
catboost+lgbm+lstm+rf,4,0.595518,0.344444,0.436449,0.53591,558,379,1106,1062
cnn+gru+lgbm+logreg+rf+cnn_lstm,6,0.595449,0.290741,0.390709,0.526892,471,320,1165,1149
catboost+gru+logreg+lstm,4,0.595445,0.338889,0.431943,0.534944,549,373,1112,1071
catboost+gru+lgbm+logreg+lstm+rf,6,0.595395,0.335185,0.42891,0.5343,543,369,1116,1077
cnn+gru+lgbm+logreg+lstm+xgb,6,0.595383,0.302469,0.401146,0.528824,490,333,1152,1130
gru+lgbm+rf+xgb,4,0.595281,0.202469,0.302165,0.512077,328,223,1262,1292
catboost+lstm+rf+cnn_lstm,4,0.595098,0.374691,0.459848,0.540741,607,413,1072,1013
catboost+cnn_lstm,2,0.595041,0.311111,0.408593,0.530113,504,343,1142,1116
catboost+cnn+gru+logreg+rf+cnn_lstm,6,0.595025,0.369136,0.455619,0.539775,598,407,1078,1022
lgbm+logreg+lstm+rf+xgb+cnn_lstm,6,0.595025,0.369136,0.455619,0.539775,598,407,1078,1022
catboost+cnn+gru+rf+cnn_lstm,5,0.59501,0.382716,0.465815,0.542029,620,422,1063,1000
catboost+cnn+gru+rf+tcn+cnn_lstm,6,0.59501,0.382716,0.465815,0.542029,620,422,1063,1000
catboost+cnn+lgbm+lstm+rf+cnn_lstm,6,0.594925,0.390741,0.471684,0.543317,633,431,1054,987
catboost+gru+lgbm+lstm+rf,5,0.594883,0.344444,0.436278,0.535588,558,380,1105,1062
catboost+gru+lgbm+lstm+rf+tcn,6,0.594883,0.344444,0.436278,0.535588,558,380,1105,1062
catboost+lgbm+logreg+lstm+xgb+cnn_lstm,6,0.594812,0.410494,0.485756,0.546538,665,453,1032,955
catboost+cnn+gru+lgbm+lstm+rf+cnn_lstm,7,0.594747,0.391358,0.472077,0.543317,634,432,1053,986
catboost+cnn+gru+lgbm+lstm+rf+tcn+cnn_lstm,8,0.594747,0.391358,0.472077,0.543317,634,432,1053,986
gru+lgbm+lstm+cnn_lstm,4,0.59465,0.178395,0.274454,0.50789,289,197,1288,1331
