models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+gru+logreg+tcn,4,0.604061,0.22037,0.322931,0.517874,357,234,1251,1263
catboost+gru+lgbm+lstm+cnn_lstm,5,0.603943,0.208025,0.309458,0.51562,337,221,1264,1283
catboost+gru+logreg,3,0.603839,0.21358,0.315549,0.516586,346,227,1258,1274
gru+lgbm+logreg+lstm+rf+cnn_lstm,6,0.603581,0.291358,0.393006,0.530435,472,310,1175,1148
gru+logreg+lstm+rf,4,0.603306,0.27037,0.373402,0.52657,438,288,1197,1182
gru+lgbm+lstm+cnn_lstm,4,0.603139,0.166049,0.260407,0.50789,269,177,1308,1351
gru+lgbm+lstm+rf+tcn,5,0.603041,0.22037,0.322785,0.517552,357,235,1250,1263
gru+lgbm+lstm+tcn+xgb,5,0.603041,0.22037,0.322785,0.517552,357,235,1250,1263
gru+lstm+rf+xgb,4,0.60292,0.254938,0.358351,0.523671,413,272,1213,1207
gru+lstm+rf+tcn+cnn_lstm,5,0.602894,0.231481,0.334523,0.519485,375,247,1238,1245
catboost+gru+lgbm+logreg+tcn,5,0.602585,0.230247,0.333184,0.519163,373,246,1239,1247
gru+logreg+lstm+rf+tcn,5,0.602442,0.274074,0.37675,0.526892,444,293,1192,1176
catboost+gru+lstm+rf+tcn+xgb,6,0.602442,0.274074,0.37675,0.526892,444,293,1192,1176
catboost+gru+lgbm+logreg,4,0.60199,0.224074,0.326586,0.517874,363,240,1245,1257
gru+logreg+lstm+rf+tcn+cnn_lstm,6,0.601793,0.290123,0.391504,0.529469,470,311,1174,1150
catboost+gru+lgbm+lstm+xgb,5,0.601504,0.246914,0.350109,0.521739,400,265,1220,1220
gru+rf+tcn+xgb,4,0.601218,0.243827,0.346948,0.521095,395,262,1223,1225
gru+logreg+rf,3,0.60089,0.25,0.353095,0.522061,405,269,1216,1215
gru+lgbm+logreg+rf+tcn,5,0.600858,0.259259,0.362225,0.523671,420,279,1206,1200
catboost+gru+lgbm+logreg+rf+cnn_lstm,6,0.600742,0.3,0.400165,0.530757,486,323,1162,1134
gru+logreg+tcn,3,0.600601,0.123457,0.204813,0.499839,200,133,1352,1420
