models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+gru+lgbm+lstm+tcn+xgb+cnn_lstm,7,0.588319,0.254938,0.355728,0.518196,413,289,1196,1207
catboost+gru+logreg+xgb,4,0.588313,0.273457,0.373367,0.521095,443,310,1175,1177
gru+logreg+rf+xgb,4,0.588235,0.277778,0.377358,0.521739,450,315,1170,1170
catboost+cnn+gru+lgbm+rf,5,0.588161,0.288272,0.38691,0.523349,467,327,1158,1153
cnn+gru+lgbm+lstm+xgb,5,0.588156,0.269753,0.369869,0.520451,437,306,1179,1183
gru+logreg+lstm+rf+xgb,5,0.588086,0.28642,0.385222,0.523027,464,325,1160,1156
gru+lgbm+logreg+tcn+xgb+cnn_lstm,6,0.588072,0.261728,0.362238,0.519163,424,297,1188,1196
cnn+gru+lstm+xgb,4,0.588068,0.255556,0.356282,0.518196,414,290,1195,1206
catboost+cnn+gru+logreg+lstm+xgb+cnn_lstm,7,0.588047,0.340123,0.430974,0.531401,551,386,1099,1069
gru+lgbm+logreg+lstm+tcn+xgb,6,0.587995,0.266049,0.366341,0.519807,431,302,1183,1189
gru+lgbm+logreg+xgb,4,0.587977,0.247531,0.348393,0.516908,401,281,1204,1219
catboost+gru+logreg+rf+xgb+cnn_lstm,6,0.587952,0.301235,0.398367,0.525282,488,342,1143,1132
catboost+gru+lgbm+logreg+rf+tcn+xgb,7,0.587952,0.301235,0.398367,0.525282,488,342,1143,1132
gru+lgbm+logreg+lstm+rf+xgb,6,0.58794,0.288889,0.387417,0.523349,468,328,1157,1152
catboost+cnn+gru+logreg+lstm+tcn+xgb+cnn_lstm,8,0.587924,0.342593,0.432917,0.531723,555,389,1096,1065
cnn+gru+logreg+lstm+rf+tcn+xgb,7,0.587906,0.324074,0.417827,0.528824,525,368,1117,1095
catboost+gru+lgbm+logreg+rf,5,0.587855,0.280864,0.380117,0.522061,455,319,1166,1165
catboost+gru+tcn+cnn_lstm,4,0.587838,0.107407,0.181628,0.495008,174,122,1363,1446
catboost+cnn+gru+lstm+rf+tcn+xgb,7,0.587814,0.303704,0.400488,0.525604,492,345,1140,1128
catboost+cnn+gru+rf+xgb,5,0.587796,0.291358,0.3896,0.523671,472,331,1154,1148
cnn+gru+lstm+tcn+xgb,5,0.587744,0.260494,0.360992,0.518841,422,296,1189,1198
catboost+cnn+gru+lstm+rf+xgb,6,0.58774,0.301852,0.398858,0.525282,489,343,1142,1131
cnn+gru+lgbm+lstm+rf+tcn+cnn_lstm,7,0.58773,0.295679,0.393429,0.524316,479,336,1149,1141
catboost+cnn+gru+lgbm+lstm+rf+tcn+xgb,8,0.587678,0.306173,0.402597,0.525926,496,348,1137,1124
cnn+gru+logreg+lstm+rf+xgb,6,0.58764,0.32284,0.416733,0.528502,523,367,1118,1097
gru+lgbm+logreg+cnn_lstm,4,0.587571,0.192593,0.290098,0.508213,312,219,1266,1308
cnn+gru+lgbm+lstm+tcn+xgb,6,0.587533,0.273457,0.37321,0.520773,443,311,1174,1177
catboost+gru+logreg+tcn+xgb+cnn_lstm,6,0.587421,0.288272,0.386749,0.523027,467,328,1157,1153
cnn+gru+lgbm+rf+xgb,5,0.587302,0.274074,0.373737,0.520773,444,312,1173,1176
gru+logreg+cnn_lstm,3,0.587234,0.17037,0.264115,0.50467,276,194,1291,1344
catboost+cnn+gru+xgb,4,0.587106,0.264198,0.36441,0.519163,428,301,1184,1192
gru+lgbm+logreg+lstm+xgb,5,0.587106,0.264198,0.36441,0.519163,428,301,1184,1192
cnn+gru+lgbm+logreg+rf+xgb+cnn_lstm,7,0.587104,0.32037,0.414537,0.527858,519,365,1120,1101
catboost+gru+lgbm+logreg+lstm+rf+tcn+xgb,8,0.586982,0.306173,0.402434,0.525604,496,349,1136,1124
cnn+gru+lgbm+xgb+cnn_lstm,5,0.586867,0.264815,0.364951,0.519163,429,302,1183,1191
gru+lgbm+logreg+lstm+rf+tcn+xgb,7,0.586849,0.291975,0.389942,0.523349,473,333,1152,1147
catboost+gru+logreg+rf+tcn+xgb+cnn_lstm,7,0.586826,0.302469,0.399185,0.52496,490,345,1140,1130
catboost+gru+lgbm+lstm+xgb+cnn_lstm,6,0.586801,0.252469,0.353043,0.51723,409,288,1197,1211
catboost+cnn+gru+lgbm+rf+xgb+cnn_lstm,7,0.586747,0.300617,0.397551,0.524638,487,343,1142,1133
cnn+gru+lgbm+rf,4,0.586742,0.25679,0.357235,0.517874,416,293,1192,1204
catboost+gru+lgbm+logreg+rf+tcn,6,0.586735,0.283951,0.382696,0.522061,460,324,1161,1160
catboost+gru+lgbm+logreg+lstm+rf+xgb,7,0.586619,0.303086,0.399674,0.52496,491,346,1139,1129
catboost+cnn+gru+lstm+rf+tcn+xgb+cnn_lstm,8,0.586605,0.31358,0.408689,0.52657,508,358,1127,1112
catboost+gru+logreg+lstm+rf+xgb+cnn_lstm,7,0.586572,0.307407,0.403402,0.525604,498,351,1134,1122
cnn+gru+logreg+lstm+tcn+xgb,6,0.586369,0.308025,0.403885,0.525604,499,352,1133,1121
cnn+gru+rf+tcn+xgb,5,0.58634,0.280864,0.3798,0.521417,455,321,1164,1165
cnn+gru+lgbm+logreg+rf+tcn+xgb+cnn_lstm,8,0.586323,0.32284,0.416401,0.527858,523,369,1116,1097
catboost+cnn+gru+rf,4,0.586294,0.285185,0.383721,0.522061,462,326,1159,1158
cnn+gru+lgbm+lstm+rf+cnn_lstm,6,0.586121,0.291975,0.389782,0.523027,473,334,1151,1147
catboost+gru+lgbm+logreg+lstm+tcn+cnn_lstm,7,0.586118,0.281481,0.380317,0.521417,456,322,1163,1164
catboost+cnn+gru+logreg+lstm+rf+xgb+cnn_lstm,8,0.586096,0.338272,0.428963,0.530113,548,387,1098,1072
gru+logreg+lstm+rf+tcn+xgb,6,0.585947,0.288272,0.386429,0.522383,467,330,1155,1153
catboost+cnn+gru+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,10,0.585912,0.338889,0.429409,0.530113,549,388,1097,1071
cnn+gru+lgbm+logreg+rf+cnn_lstm,6,0.58587,0.332716,0.424409,0.529147,539,381,1104,1081
catboost+cnn+gru+lgbm+logreg+lstm+rf+tcn+xgb,9,0.58587,0.332716,0.424409,0.529147,539,381,1104,1081
catboost+gru+lgbm+tcn+cnn_lstm,5,0.585859,0.14321,0.230159,0.500161,232,164,1321,1388
cnn+gru+lstm+rf+tcn+cnn_lstm,6,0.585784,0.295062,0.392447,0.523349,478,338,1147,1142
catboost+gru+logreg+xgb+cnn_lstm,5,0.585769,0.284568,0.383049,0.521739,461,326,1159,1159
catboost+cnn+gru+tcn+xgb+cnn_lstm,6,0.585769,0.284568,0.383049,0.521739,461,326,1159,1159
cnn+gru+lgbm+rf+xgb+cnn_lstm,6,0.585769,0.284568,0.383049,0.521739,461,326,1159,1159
catboost+cnn+gru+lgbm+rf+cnn_lstm,6,0.585681,0.308025,0.403722,0.525282,499,353,1132,1121
cnn+gru+lgbm+logreg+tcn+xgb+cnn_lstm,7,0.585648,0.312346,0.407407,0.525926,506,358,1127,1114
cnn+gru+lgbm+logreg+rf+xgb,6,0.58545,0.312963,0.407884,0.525926,507,359,1126,1113
cnn+gru+logreg+tcn+xgb+cnn_lstm,6,0.58545,0.312963,0.407884,0.525926,507,359,1126,1113
catboost+cnn+gru+lgbm+logreg+xgb+cnn_lstm,7,0.585447,0.327778,0.420261,0.52818,531,376,1109,1089
catboost+cnn+gru+lgbm+tcn+xgb,6,0.58543,0.27284,0.372211,0.519807,442,313,1172,1178
catboost+cnn+gru+rf+tcn,5,0.585427,0.287654,0.385762,0.522061,466,330,1155,1154
catboost+cnn+gru+lgbm+logreg+tcn+xgb+cnn_lstm,8,0.585419,0.332099,0.423789,0.528824,538,381,1104,1082
catboost+cnn+gru+lstm+rf+xgb+cnn_lstm,7,0.585366,0.311111,0.406288,0.525604,504,357,1128,1116
cnn+gru+lstm+xgb+cnn_lstm,5,0.585302,0.275309,0.374475,0.520129,446,316,1169,1174
cnn+gru+tcn+xgb+cnn_lstm,5,0.585165,0.262963,0.362862,0.518196,426,302,1183,1194
cnn+gru+lgbm+rf+tcn,5,0.585062,0.261111,0.361076,0.517874,423,300,1185,1197
gru+lgbm+logreg+tcn+xgb,5,0.585014,0.250617,0.350908,0.516264,406,288,1197,1214
cnn+gru+lstm+rf+xgb+cnn_lstm,6,0.584975,0.29321,0.390625,0.522705,475,337,1148,1145
cnn+gru+lstm+rf+cnn_lstm,5,0.584882,0.291358,0.388958,0.522383,472,335,1150,1148
cnn+gru+lgbm+logreg+xgb,5,0.58486,0.295679,0.392784,0.523027,479,340,1145,1141
cnn+gru+lgbm+rf+tcn+xgb+cnn_lstm,7,0.58481,0.285185,0.383402,0.521417,462,328,1157,1158
catboost+cnn+gru+rf+tcn+xgb,6,0.584767,0.293827,0.391126,0.522705,476,338,1147,1144
catboost+gru+logreg+lstm+xgb+cnn_lstm,6,0.584746,0.298148,0.39493,0.523349,483,343,1142,1137
catboost+cnn+gru+lgbm+rf+tcn+xgb,7,0.584653,0.296296,0.393281,0.523027,480,341,1144,1140
catboost+lgbm+lstm+rf,4,0.584428,0.384568,0.463887,0.536232,623,443,1042,997
catboost+cnn+gru+lgbm+rf+xgb,6,0.584352,0.295062,0.392125,0.522705,478,340,1145,1142
catboost+cnn+gru+tcn+xgb,5,0.584345,0.267284,0.366794,0.518519,433,308,1177,1187
catboost+cnn+gru+logreg+lstm+rf+tcn+xgb+cnn_lstm,9,0.584305,0.340123,0.429965,0.529469,551,392,1093,1069
catboost+cnn+gru+lgbm+rf+tcn+cnn_lstm,7,0.584296,0.312346,0.40708,0.525282,506,360,1125,1114
cnn+gru+lgbm+logreg+lstm+rf,6,0.58427,0.320988,0.414343,0.52657,520,370,1115,1100
cnn+gru+lgbm+logreg+xgb+cnn_lstm,6,0.584217,0.306173,0.401782,0.524316,496,353,1132,1124
catboost+cnn+gru+lgbm+rf+tcn,6,0.584158,0.291358,0.388797,0.522061,472,336,1149,1148
catboost+cnn+gru+xgb+cnn_lstm,5,0.584082,0.280864,0.379325,0.520451,455,324,1161,1165
catboost+gru+logreg+rf+xgb,5,0.583951,0.291975,0.3893,0.522061,473,337,1148,1147
catboost+gru+logreg+lstm+tcn+xgb+cnn_lstm,7,0.583933,0.300617,0.396903,0.523349,487,347,1138,1133
cnn+gru+lgbm+logreg+rf+tcn+xgb,7,0.583908,0.31358,0.408032,0.525282,508,362,1123,1112
lgbm+rf,2,0.583838,0.35679,0.442912,0.531723,578,412,1073,1042
catboost+cnn+gru+logreg+lstm+rf+xgb,7,0.583784,0.333333,0.424361,0.52818,540,385,1100,1080
catboost+gru+logreg+lstm+rf+xgb,6,0.583738,0.296914,0.393617,0.522705,481,343,1142,1139
catboost+cnn+gru+lgbm+lstm+rf+xgb+cnn_lstm,8,0.583721,0.309877,0.404839,0.524638,502,358,1127,1118
cnn+gru+lstm+rf+tcn+xgb+cnn_lstm,7,0.583639,0.295062,0.391964,0.522383,478,341,1144,1142
catboost+cnn+gru+lgbm+logreg+lstm+cnn_lstm,7,0.58359,0.351235,0.438536,0.530757,569,406,1079,1051
catboost+cnn+gru+rf+xgb+cnn_lstm,6,0.583532,0.301852,0.397884,0.523349,489,349,1136,1131
catboost+cnn+gru+lgbm+rf+tcn+xgb+cnn_lstm,8,0.583532,0.301852,0.397884,0.523349,489,349,1136,1131
catboost+lgbm+lstm+rf+tcn,5,0.583488,0.388272,0.466271,0.536232,629,449,1036,991
catboost+cnn+gru+lgbm+logreg+rf+tcn+xgb+cnn_lstm,9,0.583423,0.334568,0.425265,0.52818,542,387,1098,1078
cnn+gru+logreg+xgb+cnn_lstm,5,0.583333,0.30679,0.402104,0.523994,497,355,1130,1123
catboost+cnn+gru+logreg+lstm+rf+tcn+xgb,8,0.583244,0.335185,0.425715,0.52818,543,388,1097,1077
catboost+cnn+gru+logreg+xgb+cnn_lstm,6,0.583243,0.330864,0.422213,0.527536,536,383,1102,1084
catboost+cnn+gru+lgbm+lstm+rf+tcn+xgb+cnn_lstm,9,0.583238,0.31358,0.407868,0.52496,508,363,1122,1112
cnn+gru+lstm+tcn+xgb+cnn_lstm,6,0.583117,0.27716,0.375732,0.519485,449,321,1164,1171
cnn+gru+lgbm+logreg+tcn+xgb,6,0.58303,0.296914,0.393456,0.522383,481,344,1141,1139
catboost+cnn+gru+lgbm+lstm+tcn,6,0.583012,0.27963,0.377972,0.519807,453,324,1161,1167
catboost+gru+logreg+lstm+cnn_lstm,5,0.583001,0.270988,0.369996,0.518519,439,314,1171,1181
cnn+gru+logreg+lstm+rf+xgb+cnn_lstm,7,0.582965,0.325309,0.417591,0.52657,527,377,1108,1093
catboost+gru+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.582944,0.308025,0.403069,0.523994,499,357,1128,1121
gru+lstm+cnn_lstm,3,0.582902,0.138889,0.224327,0.498873,225,161,1324,1395
catboost+cnn+gru+rf+cnn_lstm,5,0.582844,0.306173,0.401457,0.523671,496,355,1130,1124
catboost+gru+lgbm+logreg+lstm+cnn_lstm,6,0.58279,0.275926,0.374529,0.519163,447,320,1165,1173
lstm+rf,2,0.582762,0.367284,0.450587,0.532689,595,426,1059,1025
lgbm+logreg+rf+xgb+cnn_lstm,5,0.58256,0.387654,0.46553,0.535588,628,450,1035,992
catboost+cnn+gru+rf+tcn+xgb+cnn_lstm,7,0.582444,0.303086,0.398701,0.523027,491,352,1133,1129
catboost+cnn+gru+lgbm+lstm+rf+cnn_lstm,7,0.58238,0.314198,0.40818,0.524638,509,365,1120,1111
catboost+gru+logreg+lstm+tcn+cnn_lstm,6,0.582361,0.27716,0.375575,0.519163,449,322,1163,1171
cnn+gru+lgbm+logreg+rf+tcn+cnn_lstm,7,0.582347,0.333951,0.42448,0.527536,541,388,1097,1079
gru+logreg+lstm+tcn+cnn_lstm,5,0.582298,0.231481,0.331272,0.512399,375,269,1216,1245
gru+logreg+tcn+cnn_lstm,4,0.58215,0.17716,0.271652,0.504348,287,206,1279,1333
catboost+cnn+gru+lgbm+lstm+rf+tcn+cnn_lstm,8,0.582106,0.317284,0.410707,0.52496,514,369,1116,1106
catboost+cnn+gru+lgbm+logreg+lstm+rf,7,0.58209,0.337037,0.426896,0.527858,546,392,1093,1074
catboost+gru+logreg+lstm+rf+tcn+xgb,7,0.582036,0.3,0.395927,0.522383,486,349,1136,1134
catboost+cnn+gru+lgbm+logreg+rf+xgb+cnn_lstm,8,0.581976,0.330864,0.421881,0.526892,536,385,1100,1084
lgbm+lstm+xgb,3,0.581967,0.350617,0.437596,0.529791,568,408,1077,1052
cnn+gru+logreg+rf+xgb,5,0.581797,0.311728,0.405949,0.523994,505,363,1122,1115
cnn+gru+lgbm+logreg+lstm+rf+tcn,7,0.581758,0.32284,0.415244,0.525604,523,376,1109,1097
lstm+rf+tcn,3,0.581731,0.373457,0.454887,0.533011,605,435,1050,1015
catboost+cnn+gru+lgbm+lstm+cnn_lstm,6,0.58162,0.296914,0.393134,0.521739,481,346,1139,1139
cnn+gru+logreg+rf,4,0.581609,0.312346,0.406426,0.523994,506,364,1121,1114
catboost+cnn+gru+logreg+lstm+xgb,6,0.581498,0.325926,0.417722,0.525926,528,380,1105,1092
cnn+gru+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.581498,0.325926,0.417722,0.525926,528,380,1105,1092
lgbm+lstm+rf+xgb+cnn_lstm,5,0.581489,0.35679,0.442234,0.530435,578,416,1069,1042
cnn+gru+lgbm+lstm+rf+xgb+cnn_lstm,7,0.581481,0.290741,0.387654,0.520773,471,339,1146,1149
lgbm+logreg+rf+tcn+xgb+cnn_lstm,6,0.581331,0.388272,0.465581,0.534944,629,453,1032,991
cnn+gru+lgbm+logreg+rf,5,0.581236,0.31358,0.407378,0.523994,508,366,1119,1112
catboost+cnn+gru+lgbm+logreg+rf+tcn,7,0.581197,0.335802,0.425665,0.527214,544,392,1093,1076
catboost+cnn+gru+lgbm+logreg+lstm+tcn+cnn_lstm,8,0.581136,0.353704,0.439754,0.529791,573,413,1072,1047
catboost+cnn+gru+logreg+tcn+xgb+cnn_lstm,7,0.581096,0.333951,0.424147,0.526892,541,390,1095,1079
catboost+cnn+gru+lgbm+lstm,5,0.581028,0.272222,0.370744,0.517874,441,318,1167,1179
lgbm+rf+tcn+xgb+cnn_lstm,5,0.581,0.358642,0.443511,0.530435,581,419,1066,1039
gru+logreg+lstm+cnn_lstm,4,0.580952,0.225926,0.325333,0.511111,366,264,1221,1254
catboost+cnn+gru+lgbm+logreg+rf,6,0.580819,0.332716,0.423077,0.52657,539,389,1096,1081
lgbm+lstm+tcn+xgb,4,0.580808,0.354938,0.440613,0.529791,575,415,1070,1045
catboost+gru+logreg+rf+tcn+xgb,6,0.580685,0.29321,0.389664,0.520773,475,343,1142,1145
catboost+cnn+gru+lstm+rf+tcn+cnn_lstm,7,0.580682,0.315432,0.4088,0.523994,511,369,1116,1109
lgbm+lstm+rf+tcn+xgb,5,0.580581,0.358025,0.442917,0.530113,580,419,1066,1040
lgbm+rf+xgb,3,0.580513,0.349383,0.436224,0.528824,566,409,1076,1054
cnn+gru+logreg+rf+tcn,5,0.580499,0.316049,0.409273,0.523994,512,370,1115,1108
lgbm+lstm+rf,3,0.580454,0.362963,0.446639,0.530757,588,425,1060,1032
catboost+lstm+tcn+xgb,4,0.5804,0.376543,0.456758,0.532689,610,441,1044,1010
lgbm+logreg+rf+xgb,4,0.580374,0.383333,0.46171,0.533655,621,449,1036,999
catboost+cnn+gru+lstm+rf+cnn_lstm,6,0.580275,0.312346,0.4061,0.523349,506,366,1119,1114
logreg+lstm+rf+xgb+cnn_lstm,5,0.580224,0.383951,0.46211,0.533655,622,450,1035,998
lgbm+rf+tcn+xgb,4,0.580184,0.350617,0.437091,0.528824,568,411,1074,1052
cnn+gru+lgbm+logreg+lstm+cnn_lstm,6,0.580153,0.328395,0.419393,0.525604,532,385,1100,1088
cnn+gru+logreg+rf+tcn+xgb,6,0.580092,0.312963,0.406576,0.523349,507,367,1118,1113
catboost+lstm+xgb,3,0.580058,0.373457,0.454375,0.532045,605,438,1047,1015
lgbm+lstm+rf+tcn+xgb+cnn_lstm,6,0.58,0.358025,0.442748,0.529791,580,420,1065,1040
lgbm+logreg+rf+tcn+xgb,5,0.579926,0.385185,0.462908,0.533655,624,452,1033,996
catboost+cnn+gru+rf+tcn+cnn_lstm,6,0.579861,0.309259,0.403382,0.522705,501,363,1122,1119
lgbm+rf+cnn_lstm,3,0.579792,0.379012,0.45838,0.532689,614,445,1040,1006
lgbm+lstm+rf+tcn,4,0.579556,0.370988,0.45239,0.531401,601,436,1049,1019
cnn+gru+rf+tcn,4,0.579545,0.251852,0.351119,0.514332,408,296,1189,1212
lgbm+lstm+xgb+cnn_lstm,4,0.579523,0.359877,0.444021,0.529791,583,423,1062,1037
catboost+cnn+gru+lgbm+lstm+tcn+cnn_lstm,7,0.579505,0.303704,0.398542,0.521739,492,357,1128,1128
logreg+rf+xgb+cnn_lstm,4,0.579482,0.387037,0.464101,0.533655,627,455,1030,993
lgbm+lstm+rf+xgb,4,0.579477,0.355556,0.440704,0.529147,576,418,1067,1044
logreg+lstm+rf+tcn+xgb+cnn_lstm,6,0.579387,0.385185,0.462736,0.533333,624,453,1032,996
lgbm+rf+xgb+cnn_lstm,4,0.579373,0.353704,0.439249,0.528824,573,416,1069,1047
catboost+lstm+rf,3,0.579343,0.380864,0.45959,0.532689,617,448,1037,1003
cnn+gru+lgbm+lstm,4,0.579341,0.238889,0.338287,0.512399,387,281,1204,1233
catboost+lgbm+logreg+rf+xgb+cnn_lstm,6,0.579235,0.392593,0.467991,0.5343,636,462,1023,984
cnn+gru+lgbm+logreg+rf+tcn,6,0.579186,0.316049,0.408946,0.523349,512,372,1113,1108
lgbm+logreg+lstm+rf,4,0.579181,0.401852,0.47449,0.535588,651,473,1012,969
lgbm+rf+tcn,3,0.579154,0.36358,0.44672,0.530113,589,428,1057,1031
catboost+lgbm+tcn+xgb,4,0.579151,0.37037,0.451807,0.531079,600,436,1049,1020
lgbm+rf+tcn+cnn_lstm,4,0.579093,0.38642,0.463532,0.533333,626,455,1030,994
catboost+lgbm+logreg+lstm+xgb,5,0.579088,0.4,0.473165,0.535266,648,471,1014,972
catboost+gru+lgbm+cnn_lstm,4,0.579088,0.133333,0.216759,0.497262,216,157,1328,1404
cnn+gru+lgbm+logreg+tcn,5,0.579009,0.303086,0.397893,0.521417,491,357,1128,1129
catboost+lstm+rf+tcn,4,0.578996,0.384568,0.462166,0.533011,623,453,1032,997
catboost+logreg+rf+tcn+xgb,5,0.578947,0.393827,0.468773,0.5343,638,464,1021,982
catboost+lgbm+rf+tcn,4,0.578898,0.382716,0.460795,0.532689,620,451,1034,1000
cnn+gru+rf+cnn_lstm,4,0.578879,0.274074,0.372015,0.51723,444,323,1162,1176
cnn+gru+rf,3,0.578871,0.246914,0.34617,0.513366,400,291,1194,1220
catboost+logreg+rf+xgb,4,0.578851,0.391975,0.467427,0.533977,635,462,1023,985
lgbm+lstm+rf+tcn+cnn_lstm,5,0.578848,0.378395,0.457633,0.532045,613,446,1039,1007
catboost+cnn+gru+lgbm+logreg+rf+tcn+xgb,8,0.578831,0.324074,0.415512,0.524316,525,382,1103,1095
catboost+lgbm+lstm+rf+tcn+cnn_lstm,6,0.578804,0.394444,0.469163,0.5343,639,465,1020,981
rf+tcn,2,0.578794,0.367284,0.449396,0.530435,595,433,1052,1025
catboost+lgbm+rf+xgb,4,0.578791,0.360494,0.444275,0.529469,584,425,1060,1036
catboost+lgbm+rf,3,0.578699,0.379012,0.458038,0.532045,614,447,1038,1006
catboost+cnn+gru+lgbm+logreg+lstm+rf+tcn,8,0.578669,0.338272,0.426958,0.526248,548,399,1086,1072
cnn+gru+lgbm+lstm+rf+tcn+xgb+cnn_lstm,8,0.578624,0.290741,0.387017,0.519485,471,343,1142,1149
lgbm+logreg+lstm+rf+tcn,5,0.578578,0.40679,0.477709,0.53591,659,480,1005,961
catboost+lgbm+xgb,3,0.578537,0.366049,0.448393,0.530113,593,432,1053,1027
logreg+rf+tcn+xgb,4,0.578459,0.384568,0.461995,0.532689,623,454,1031,997
catboost+lgbm+logreg+lstm+rf,5,0.57844,0.407407,0.478088,0.53591,660,481,1004,960
catboost+cnn+gru+logreg+lstm+tcn+xgb,7,0.578431,0.327778,0.41844,0.524638,531,387,1098,1089
catboost+lgbm+logreg+rf+tcn+xgb+cnn_lstm,7,0.578422,0.393827,0.468601,0.533977,638,465,1020,982
logreg+rf+xgb,3,0.578404,0.380247,0.458845,0.532045,616,449,1036,1004
lgbm+logreg+lstm+rf+xgb+cnn_lstm,6,0.578404,0.380247,0.458845,0.532045,616,449,1036,1004
catboost+lgbm+logreg+lstm+rf+tcn,6,0.578397,0.409877,0.479769,0.536232,664,484,1001,956
cnn+gru+logreg+rf+xgb+cnn_lstm,6,0.578354,0.316667,0.409254,0.523027,513,374,1111,1107
catboost+cnn+gru+lgbm+logreg+lstm,6,0.578326,0.332716,0.422414,0.525282,539,393,1092,1081
catboost+cnn+gru+lgbm+logreg+lstm+rf+tcn+cnn_lstm,9,0.578301,0.348765,0.435117,0.527536,565,412,1073,1055
cnn+gru+logreg+xgb,4,0.578298,0.289506,0.385849,0.519163,469,342,1143,1151
catboost+cnn+gru+lgbm+logreg+rf+xgb,7,0.578246,0.321605,0.413328,0.523671,521,380,1105,1099
lgbm+lstm,2,0.578237,0.396914,0.470717,0.5343,643,469,1016,977
catboost+lgbm+logreg+lstm+rf+xgb+cnn_lstm,7,0.578125,0.388272,0.464549,0.533011,629,459,1026,991
lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,7,0.57811,0.381481,0.45965,0.532045,618,451,1034,1002
catboost+cnn+gru+logreg+lstm+rf+cnn_lstm,7,0.578029,0.347531,0.434079,0.527214,563,411,1074,1057
lstm+rf+tcn+xgb,4,0.578,0.35679,0.441221,0.528502,578,422,1063,1042
catboost+cnn+gru+logreg+rf+tcn+xgb,7,0.577972,0.32716,0.417816,0.524316,530,387,1098,1090
cnn+lstm+rf+xgb+cnn_lstm,5,0.577957,0.398148,0.471491,0.5343,645,471,1014,975
catboost+lgbm+lstm+rf+cnn_lstm,5,0.577839,0.389506,0.465339,0.533011,631,461,1024,989
lgbm+logreg+lstm+rf+cnn_lstm,5,0.577816,0.414815,0.482932,0.536554,672,491,994,948
lgbm+logreg+lstm+rf+tcn+xgb,6,0.577799,0.375926,0.455497,0.531079,609,445,1040,1011
catboost+lgbm+logreg+lstm+tcn+xgb,6,0.577778,0.401235,0.473588,0.534622,650,475,1010,970
lgbm+logreg+lstm+tcn+xgb,5,0.577758,0.394444,0.468819,0.533655,639,467,1018,981
catboost+lgbm+lstm+rf+xgb,5,0.577756,0.362346,0.445372,0.529147,587,429,1056,1033
catboost+cnn+gru+logreg+rf+xgb+cnn_lstm,7,0.577754,0.330247,0.420267,0.524638,535,391,1094,1085
catboost+lgbm+lstm+xgb+cnn_lstm,5,0.577735,0.371605,0.452292,0.530435,602,440,1045,1018
lgbm+logreg+lstm+xgb,4,0.577697,0.390123,0.465733,0.533011,632,462,1023,988
catboost+cnn+gru+logreg+rf+xgb,6,0.577681,0.325926,0.416732,0.523994,528,386,1099,1092
lstm+rf+xgb,3,0.577621,0.353704,0.438744,0.527858,573,419,1066,1047
cnn+gru+logreg+lstm+rf+tcn+cnn_lstm,7,0.577614,0.337654,0.426178,0.525604,547,400,1085,1073
lgbm+lstm+tcn,3,0.577564,0.40679,0.477363,0.535266,659,482,1003,961
logreg+rf+tcn+xgb+cnn_lstm,5,0.577452,0.388889,0.464773,0.532689,630,461,1024,990
cnn+gru+logreg+lstm+rf+cnn_lstm,6,0.577419,0.331481,0.421176,0.524638,537,393,1092,1083
cnn+gru+lgbm+logreg+lstm+rf+cnn_lstm,7,0.577419,0.331481,0.421176,0.524638,537,393,1092,1083
lgbm+xgb,2,0.57732,0.345679,0.432432,0.52657,560,410,1075,1060
cnn+gru+rf+tcn+cnn_lstm,5,0.57732,0.276543,0.373957,0.516908,448,328,1157,1172
cnn+lgbm+lstm+rf+tcn+xgb+cnn_lstm,7,0.577301,0.398765,0.471705,0.533977,646,473,1012,974
catboost+lgbm+rf+xgb+cnn_lstm,5,0.577299,0.364198,0.446631,0.529147,590,432,1053,1030
catboost+lgbm+rf+tcn+xgb+cnn_lstm,6,0.577259,0.366667,0.448471,0.529469,594,435,1050,1026
cnn+gru+lgbm+logreg+lstm+tcn+cnn_lstm,7,0.577253,0.332099,0.42163,0.524638,538,394,1091,1082
catboost+gru+logreg+tcn+cnn_lstm,5,0.577201,0.246914,0.345871,0.512721,400,293,1192,1220
catboost+cnn+gru+logreg+rf,5,0.577167,0.337037,0.425565,0.525282,546,400,1085,1074
catboost+cnn+gru+lgbm+logreg+lstm+tcn,7,0.577167,0.337037,0.425565,0.525282,546,400,1085,1074
catboost+logreg+lstm+rf,4,0.57699,0.411728,0.480548,0.535588,667,489,996,953
catboost+rf,2,0.576923,0.37963,0.45793,0.531079,615,451,1034,1005
catboost+cnn+gru+logreg+rf+tcn,6,0.576842,0.338272,0.426459,0.525282,548,402,1083,1072
catboost+cnn+gru+lgbm+cnn_lstm,5,0.576829,0.291975,0.387705,0.518841,473,347,1138,1147
cnn+lgbm+lstm+rf+xgb+cnn_lstm,6,0.576819,0.396296,0.469813,0.533333,642,471,1014,978
catboost+lgbm+rf+tcn+xgb,5,0.576772,0.361728,0.444613,0.528502,586,430,1055,1034
catboost+cnn+gru+lgbm+logreg+lstm+rf+cnn_lstm,8,0.576725,0.345679,0.432266,0.526248,560,411,1074,1060
rf+tcn+xgb,3,0.57665,0.350617,0.436084,0.526892,568,417,1068,1052
