number,value,datetime_start,datetime_complete,duration,params_act,params_arch,params_batch,params_conv_blocks,params_conv_drop,params_dense,params_dropout,params_filters,params_kernel,params_l2,params_lr,params_lstm_drop,params_optim,params_pool,params_units,params_window,user_attrs_precision,user_attrs_recall,state
35,-0.362377655765099,2025-06-11 10:56:05.533455,2025-06-11 10:57:05.049770,0 days 00:00:59.516315,relu,lstm_conv,128,2,0.23366150950746545,128,0.35896385136125897,64,3,1.1446072678729505e-05,0.00011510839932729144,0.14648444436415492,adamw,gmp,32,66,0.5331928345626976,0.31234567901234567,COMPLETE
36,0.6905742287635803,2025-06-11 10:57:05.832768,2025-06-11 10:57:15.209739,0 days 00:00:09.376971,elu,conv_lstm,32,2,0.21785732345304668,32,0.3762129195044624,128,3,1.4520927484494516e-06,0.00029252742882734375,0.14380800563369017,adamw,gmp,64,72,,,PRUNED
37,0.6941946148872375,2025-06-11 10:57:16.011739,2025-06-11 10:57:26.170819,0 days 00:00:10.159080,elu,lstm_conv,16,1,0.2097070746880472,128,0.32874819534024186,64,5,4.116039850739703e-06,6.238826965464711e-05,0.17021122073486294,nadam,gap,96,54,,,PRUNED
38,0.6894412636756897,2025-06-11 10:57:26.993817,2025-06-11 10:57:32.217959,0 days 00:00:05.224142,relu,lstm_conv,128,1,0.27754207239029777,32,0.3857107581447717,64,3,9.734875088001747e-06,0.00030876186617299315,0.0948193427612506,adamw,gap,64,60,,,PRUNED
39,0.6881411671638489,2025-06-11 10:57:33.034135,2025-06-11 10:57:39.622419,0 days 00:00:06.588284,relu,conv_lstm,128,2,0.272055921365472,32,0.39792043249355125,64,2,9.129686576880755e-06,0.0005117326578081804,0.12338992787073857,adamw,gmp,96,60,,,PRUNED
40,0.6983159780502319,2025-06-11 10:57:40.435418,2025-06-11 10:57:48.439504,0 days 00:00:08.004086,elu,conv_lstm,128,2,0.23627472464414065,32,0.36383143437998994,96,2,1.1120924185935756e-06,0.0002810599345808861,0.18866677490784683,adam,gmp,128,60,,,PRUNED
41,0.7074617147445679,2025-06-11 10:57:49.257503,2025-06-11 10:57:55.757514,0 days 00:00:06.500011,relu,conv_lstm,32,1,0.24540432662748385,128,0.2509201649186721,64,5,0.0001981754461643541,0.00012162114289338097,0.11378273194617133,adam,gap,32,72,,,PRUNED
42,0.6927868127822876,2025-06-11 10:57:56.589512,2025-06-11 10:58:04.463184,0 days 00:00:07.873672,relu,conv_lstm,128,1,0.24107743387755542,64,0.33699170772127823,32,5,7.32703620156881e-05,7.846227353294061e-05,0.15833593014106045,nadam,gap,128,72,,,PRUNED
43,-0.43895809739524344,2025-06-11 10:58:05.307182,2025-06-11 10:59:09.543072,0 days 00:01:04.235890,relu,conv_lstm,32,1,0.2356418194697563,32,0.29961288713995005,32,4,1.662021158813203e-05,6.31533497785359e-05,0.02297373018420311,nadam,gap,32,66,0.5497872340425531,0.3987654320987654,COMPLETE
44,0.6909363269805908,2025-06-11 10:59:10.366095,2025-06-11 10:59:22.697591,0 days 00:00:12.331496,elu,conv_lstm,16,1,0.26650627537702326,32,0.3546987461663935,64,4,1.6773632791489286e-05,6.197404948288097e-05,0.08889239791399564,adamw,gmp,96,72,,,PRUNED
45,0.6912890672683716,2025-06-11 10:59:23.559590,2025-06-11 10:59:29.440578,0 days 00:00:05.880988,elu,lstm_conv,128,1,0.22778199686879944,128,0.37189575500036265,32,5,1.9941725329910935e-05,7.515096754899639e-05,0.10000258437041684,adam,gmp,96,48,,,PRUNED
46,0.6907364726066589,2025-06-11 10:59:30.294577,2025-06-11 10:59:35.998565,0 days 00:00:05.703988,relu,conv_lstm,64,1,0.2618897613369739,128,0.29272143843270754,32,4,4.1962521668466694e-05,9.85200897886322e-05,0.11879157945877312,nadam,gap,32,66,,,PRUNED
47,0.6883115768432617,2025-06-11 10:59:36.869564,2025-06-11 10:59:47.699268,0 days 00:00:10.829704,elu,conv_lstm,16,2,0.11623775217829319,32,0.3891761614421062,64,3,3.652736632665461e-06,0.000500400173948605,0.09740876382561194,nadam,gmp,32,72,,,PRUNED
48,0.6913645267486572,2025-06-11 10:59:48.586267,2025-06-11 10:59:53.402257,0 days 00:00:04.815990,relu,lstm_conv,64,1,0.09650970098983024,128,0.19961920333979147,48,5,7.524739396471147e-05,0.0004591079040149799,0.09977792516862918,nadam,gmp,32,48,,,PRUNED
49,0.6917405724525452,2025-06-11 10:59:54.295256,2025-06-11 11:00:00.516886,0 days 00:00:06.221630,elu,lstm_conv,128,1,0.20670933366434552,32,0.3860208548671159,64,4,6.417933555748062e-06,7.774091495888724e-05,0.128651167186194,adam,gap,96,54,,,PRUNED
50,0.7015992403030396,2025-06-11 11:00:01.426885,2025-06-11 11:00:09.040873,0 days 00:00:07.613988,relu,conv_lstm,32,1,0.25994537877360957,128,0.22318988027633302,32,3,0.00010950501031097206,8.697466877333926e-05,0.09583425046693816,adamw,gap,64,60,,,PRUNED
51,0.7218742966651917,2025-06-11 11:00:09.979051,2025-06-11 11:00:16.886037,0 days 00:00:06.906986,elu,lstm_conv,128,1,0.0031522481163054825,64,0.19894566271904027,128,7,0.00018839222455275812,8.35412661569685e-05,0.09664763503833379,nadam,gap,96,54,,,PRUNED
52,0.6871791481971741,2025-06-11 11:00:17.812643,2025-06-11 11:00:27.329624,0 days 00:00:09.516981,elu,lstm_conv,32,1,0.2766948344716003,32,0.37608993859683365,32,4,1.144992427164262e-05,6.023348999661568e-05,0.17294494058917756,nadam,gmp,96,72,,,PRUNED
53,0.6999440789222717,2025-06-11 11:00:28.255623,2025-06-11 11:00:32.939613,0 days 00:00:04.683990,elu,lstm_conv,128,2,0.09284320838559142,64,0.14087939099788377,128,6,6.021476774907259e-05,6.216156868401659e-05,0.09381163178516155,adamw,gmp,32,66,,,PRUNED
54,0.7000780701637268,2025-06-11 11:00:33.872612,2025-06-11 11:00:40.401598,0 days 00:00:06.528986,elu,lstm_conv,128,2,0.020494300594033343,64,0.09379321228662295,128,4,8.928943169393917e-06,8.144022141194098e-05,0.05527577003466055,nadam,gmp,96,48,,,PRUNED
55,0.6972222924232483,2025-06-11 11:00:41.337597,2025-06-11 11:00:46.184587,0 days 00:00:04.846990,elu,conv_lstm,128,2,0.22868072069376322,32,0.3782969467301751,48,3,8.413324314489452e-06,0.0002994087235398159,0.08146179430503048,adamw,gap,32,54,,,PRUNED
56,0.6891375184059143,2025-06-11 11:00:47.132594,2025-06-11 11:00:53.282202,0 days 00:00:06.149608,elu,lstm_conv,128,1,0.24215319691424603,128,0.39374026727953987,64,2,9.232555916585002e-06,5.2323335983164786e-05,0.1520458069006772,nadam,gmp,96,48,,,PRUNED
57,0.769812822341919,2025-06-11 11:00:54.233200,2025-06-11 11:01:00.427188,0 days 00:00:06.193988,elu,lstm_conv,128,2,0.07534342027976323,128,0.14858571520868447,96,5,0.00031999397676231434,0.00012417615826660022,0.0404768054498468,nadam,gmp,96,42,,,PRUNED
58,0.7060081958770752,2025-06-11 11:01:01.373187,2025-06-11 11:01:09.234171,0 days 00:00:07.860984,elu,lstm_conv,128,2,0.039725136749521585,64,0.09807829446078412,32,7,8.264221858342824e-05,0.0001608404078168374,0.11796058867671491,nadam,gmp,96,72,,,PRUNED
59,0.6949008107185364,2025-06-11 11:01:10.201169,2025-06-11 11:01:16.930574,0 days 00:00:06.729405,elu,conv_lstm,32,1,0.2630703735428676,64,0.37220576551358064,32,3,0.00012623686358142103,0.0002852300190318049,0.16821930369868798,nadam,gap,32,72,,,PRUNED
60,0.6890782117843628,2025-06-11 11:01:17.919574,2025-06-11 11:01:23.723867,0 days 00:00:05.804293,elu,conv_lstm,128,2,0.21768969574683886,32,0.38270122910988885,64,4,4.29631741020543e-06,0.00018399404042740002,0.1927583805602363,adam,gmp,32,72,,,PRUNED
61,-0.5177470775770457,2025-06-11 11:01:24.734865,2025-06-11 11:02:16.169764,0 days 00:00:51.434899,relu,conv_lstm,32,2,0.1989696381583863,32,0.36744287149341615,32,5,1.7302030711379213e-06,5.455257886876994e-05,0.005580951821487788,nadam,gap,32,66,0.5542662116040956,0.5012345679012346,COMPLETE
62,-0.5930164888457807,2025-06-11 11:02:17.151763,2025-06-11 11:03:08.188664,0 days 00:00:51.036901,elu,conv_lstm,32,2,0.21453123510575015,32,0.29101309330041714,48,6,4.408019441047806e-06,0.0002105071504526393,0.027551873429709623,nadam,gap,32,72,0.5299011960478419,0.630569306930693,COMPLETE
63,-0.2514877102199224,2025-06-11 11:03:09.170662,2025-06-11 11:03:54.005355,0 days 00:00:44.834693,elu,conv_lstm,32,2,0.2989162522589132,32,0.30333937946672546,48,6,8.372446206862358e-06,0.00025271165994944294,0.08132969197962318,nadam,gap,32,48,0.5337726523887973,0.19889502762430938,COMPLETE
64,0.6877567768096924,2025-06-11 11:03:54.992353,2025-06-11 11:04:01.244238,0 days 00:00:06.251885,relu,conv_lstm,32,2,0.18280741454929378,64,0.346997135050217,32,6,3.405693961803247e-06,7.438730806454763e-05,0.0012546699766209117,nadam,gmp,32,42,,,PRUNED
65,0.6949966549873352,2025-06-11 11:04:02.267237,2025-06-11 11:04:11.249218,0 days 00:00:08.981981,elu,conv_lstm,32,2,0.1799480586431392,32,0.23605097239382888,128,7,1.148994926924955e-05,8.755985573621002e-05,0.0672360086802247,adam,gap,32,66,,,PRUNED
66,-0.540973630831643,2025-06-11 11:04:12.279217,2025-06-11 11:05:21.107782,0 days 00:01:08.828565,relu,lstm_conv,16,2,0.23383847909059918,32,0.3575805375016528,32,6,2.6996946846348575e-06,6.162401599939389e-05,0.030633721766361807,nadam,gap,32,72,0.5235571260306242,0.5501237623762376,COMPLETE
67,-0.0610079575596817,2025-06-11 11:05:22.144780,2025-06-11 11:06:38.265876,0 days 00:01:16.121096,relu,lstm_conv,16,2,0.19022447704338202,128,0.3050848117604642,32,5,2.7209759338291484e-06,0.00020821023998489688,0.024019830142971068,nadam,gap,32,66,0.45098039215686275,0.04259259259259259,COMPLETE
68,-0.6261647409616101,2025-06-11 11:06:39.291873,2025-06-11 11:07:09.482814,0 days 00:00:30.190941,relu,conv_lstm,128,2,0.15816703780343883,32,0.33150094218723614,64,5,1.956131238880811e-06,5.535662736619143e-05,0.036691497101639006,nadam,gap,32,60,0.527803958529689,0.6905055487053021,COMPLETE
69,-0.3591954022988506,2025-06-11 11:07:10.540812,2025-06-11 11:07:36.689489,0 days 00:00:26.148677,relu,conv_lstm,128,2,0.1679617823714246,32,0.3323804807913687,64,5,4.864634166023898e-06,8.962302805364637e-05,0.057380590266690276,nadam,gap,32,54,0.5399568034557235,0.3076923076923077,COMPLETE
70,0.6894820332527161,2025-06-11 11:07:37.726487,2025-06-11 11:07:45.616471,0 days 00:00:07.889984,relu,lstm_conv,16,2,0.20528724088843256,32,0.3316153159103989,32,6,3.348329607782205e-05,6.900957714613557e-05,0.045128499699127966,adam,gap,32,54,,,PRUNED
71,-0.021068702290076336,2025-06-11 11:07:46.672469,2025-06-11 11:09:04.912428,0 days 00:01:18.239959,relu,lstm_conv,16,1,0.21622983789804665,32,0.281709666941495,96,7,1.739885760568174e-06,5.150094500038738e-05,0.020172242632605118,nadam,gap,32,66,0.6571428571428571,0.014197530864197531,COMPLETE
72,-0.43362241494329556,2025-06-11 11:09:05.962426,2025-06-11 11:10:03.940463,0 days 00:00:57.978037,elu,lstm_conv,64,2,0.24092963853770824,32,0.379686020877689,32,4,4.331290678733447e-06,7.25532848081929e-05,0.09525394718625531,nadam,gap,32,66,0.5171042163882259,0.4012345679012346,COMPLETE
73,0.6936233639717102,2025-06-11 11:10:05.001460,2025-06-11 11:10:09.514067,0 days 00:00:04.512607,elu,lstm_conv,128,1,0.23580767655827037,32,0.32073157679077346,64,3,4.0898110221002864e-05,0.00015228197652203567,0.011209125148382175,adamw,gmp,32,48,,,PRUNED
74,-0.4862267777065984,2025-06-11 11:10:10.588588,2025-06-11 11:10:58.729201,0 days 00:00:48.140613,elu,conv_lstm,32,2,0.07782538410945988,32,0.29769958245559236,48,5,3.160746290040468e-06,0.00018758089488183217,0.009970681104640902,nadam,gap,32,60,0.527449617790132,0.467940813810111,COMPLETE
75,-0.3741109530583215,2025-06-11 11:10:59.807225,2025-06-11 11:13:29.661984,0 days 00:02:29.854759,relu,conv_lstm,32,2,0.2179113236067432,32,0.39173390761526194,32,5,1.0959897476499573e-06,8.300831368763483e-05,0.1452210678795526,nadam,gap,32,54,0.5433884297520661,0.32369230769230767,COMPLETE
76,0.7028658986091614,2025-06-11 11:13:30.729983,2025-06-11 11:13:42.728958,0 days 00:00:11.998975,elu,conv_lstm,32,2,0.07116880888924312,32,0.3158597269464352,48,6,1.1934503656106323e-05,0.00019513725771861217,0.0057968475255189365,nadam,gmp,32,54,,,PRUNED
77,0.6989472508430481,2025-06-11 11:13:43.902957,2025-06-11 11:14:01.371240,0 days 00:00:17.468283,elu,lstm_conv,16,2,0.20282367532911766,32,0.3370884664678884,128,6,1.426226495066472e-05,0.00020170061401586994,0.0010479338216281588,nadam,gap,32,72,,,PRUNED
78,0.6872142553329468,2025-06-11 11:14:02.564277,2025-06-11 11:14:14.498356,0 days 00:00:11.934079,elu,conv_lstm,32,2,0.06626385964363249,32,0.23302079575621115,32,5,1.950410648915706e-06,0.0001791196339513265,0.0018236748917756906,nadam,gap,32,60,,,PRUNED
79,0.701996386051178,2025-06-11 11:14:15.649354,2025-06-11 11:14:25.385335,0 days 00:00:09.735981,elu,conv_lstm,64,2,0.13074933473101233,32,0.2917112896344065,48,5,2.0948605201429156e-06,0.0001700226975301006,0.006736818679333427,adam,gap,32,48,,,PRUNED
80,0.7062365412712097,2025-06-11 11:14:26.525332,2025-06-11 11:14:41.618759,0 days 00:00:15.093427,elu,lstm_conv,32,1,0.22146081774037651,32,0.36931297822288794,64,4,2.459347141919457e-05,0.00011136979981260507,0.07498447851632437,adamw,gmp,64,66,,,PRUNED
81,0.7209652066230774,2025-06-11 11:14:42.819757,2025-06-11 11:14:58.538444,0 days 00:00:15.718687,relu,lstm_conv,64,1,0.1510859506732667,128,0.2786991441721719,64,5,0.0002841280095799042,0.0008455901235246494,0.0782465047729762,nadam,gmp,128,42,,,PRUNED
82,0.6868050694465637,2025-06-11 11:14:59.684442,2025-06-11 11:15:16.350409,0 days 00:00:16.665967,relu,lstm_conv,16,2,0.2648732961882399,32,0.26835590344525506,32,5,2.9765179263120484e-06,6.638852632061533e-05,0.115654539106849,nadam,gmp,32,72,,,PRUNED
83,-0.4446428571428572,2025-06-11 11:15:17.531407,2025-06-11 11:21:42.238200,0 days 00:06:24.706793,relu,lstm_conv,16,2,0.179595052269238,32,0.3632927424631055,32,7,1.8496041764425529e-06,7.581231192127083e-05,0.046878485675296,nadam,gap,64,72,0.532051282051282,0.41089108910891087,COMPLETE
84,-0.4152033271719039,2025-06-11 11:21:43.473196,2025-06-11 11:24:29.158965,0 days 00:02:45.685769,relu,conv_lstm,128,2,0.23493673743283072,128,0.3562251751386496,96,4,1.9270413377719823e-06,8.557261609155699e-05,0.07409827337229072,nadam,gmp,32,72,0.5465328467153284,0.37066831683168316,COMPLETE
85,-0.5739027750442826,2025-06-11 11:24:30.287963,2025-06-11 11:26:11.893365,0 days 00:01:41.605402,elu,conv_lstm,32,2,0.1671230040634918,32,0.24776914872211495,48,7,1.9929388871711597e-06,8.827523495554962e-05,0.01035073754602173,nadam,gap,32,72,0.5256895619253651,0.6014851485148515,COMPLETE
86,0.6871905326843262,2025-06-11 11:26:13.025963,2025-06-11 11:26:29.617815,0 days 00:00:16.591852,relu,conv_lstm,32,2,0.21806599878776642,32,0.30184409624266206,96,6,3.273599767003239e-06,5.028564772321862e-05,0.0055525749538403715,adamw,gap,32,72,,,PRUNED
87,0.686526358127594,2025-06-11 11:26:30.841813,2025-06-11 11:26:43.179952,0 days 00:00:12.338139,elu,conv_lstm,32,2,0.14292121913853556,64,0.3218045490224194,48,6,3.23706275472991e-06,7.723812357589083e-05,0.019754686139292484,adamw,gap,32,60,,,PRUNED
88,-0.3104738154613466,2025-06-11 11:26:44.346950,2025-06-11 11:29:56.584522,0 days 00:03:12.237572,relu,conv_lstm,32,2,0.1292360517804213,32,0.3632546848559749,128,4,3.418030717817657e-06,5.1875679069632774e-05,0.007518260501747867,nadam,gap,96,54,0.5460526315789473,0.2553846153846154,COMPLETE
89,0.689178466796875,2025-06-11 11:29:57.807520,2025-06-11 11:30:18.458479,0 days 00:00:20.650959,elu,conv_lstm,32,2,0.13658645527287855,32,0.3889557951633565,48,6,5.054636055165079e-06,9.611462738687416e-05,0.01435010308703303,nadam,gap,96,72,,,PRUNED
