number,value,datetime_start,datetime_complete,duration,params_act,params_arch,params_batch,params_conv_blocks,params_conv_drop,params_dense,params_dropout,params_filters,params_kernel,params_l2,params_lr,params_lstm_drop,params_pool,params_units,params_window,user_attrs_precision,user_attrs_recall,state
21,-0.6527285613040397,2025-06-11 10:24:35.418161,2025-06-11 10:25:00.164041,0 days 00:00:24.745880,relu,lstm_conv,64,1,0.13964609302145137,32,0.3325954678794782,48,3,3.275228316868659e-06,0.0029484817139159925,0.11845807770452996,gmp,32,18,0.5225531914893617,0.7455980570734669,COMPLETE
22,0.6877910494804382,2025-06-11 10:25:00.463042,2025-06-11 10:25:04.991878,0 days 00:00:04.528836,relu,lstm_conv,64,1,0.15405473200398745,32,0.3380977391180705,48,3,4.124299927238198e-06,0.001600537358687518,0.1364542387857856,gmp,32,24,,,PRUNED
23,0.6924688816070557,2025-06-11 10:25:05.310878,2025-06-11 10:25:08.986871,0 days 00:00:03.675993,relu,lstm_conv,64,1,0.11528124779872753,32,0.39789680447653025,48,4,1.1183713484599446e-06,0.002464166271301416,0.10442386019656111,gmp,32,12,,,PRUNED
24,-0.5943609022556391,2025-06-11 10:25:09.305870,2025-06-11 10:25:40.868444,0 days 00:00:31.562574,relu,lstm_conv,64,1,0.18186154866025117,32,0.26429479628392255,48,4,3.1674705757621533e-06,0.0007167369590473246,0.181785857769061,gmp,32,18,0.5202369200394866,0.6399514268366727,COMPLETE
25,0.6877940893173218,2025-06-11 10:25:41.180444,2025-06-11 10:25:45.632656,0 days 00:00:04.452212,relu,lstm_conv,64,1,0.184853716888566,32,0.26614136157641854,48,3,2.583945923994424e-06,0.00010786391752832801,0.17237548351630444,gmp,32,24,,,PRUNED
26,0.690540611743927,2025-06-11 10:25:45.965655,2025-06-11 10:25:51.308644,0 days 00:00:05.342989,relu,conv_lstm,64,1,0.24378189295268665,32,0.3204115494243912,48,4,4.9489101812587395e-06,0.00018225248717105763,0.04856817114928896,gap,32,36,,,PRUNED
27,0.6864163279533386,2025-06-11 10:25:51.651645,2025-06-11 10:25:55.866191,0 days 00:00:04.214546,relu,lstm_conv,64,1,0.21349909592016786,32,0.36087192286616104,48,3,1.7135263493811267e-06,0.0006542873157594868,0.1927077252037465,gmp,32,18,,,PRUNED
28,-0.499896244034032,2025-06-11 10:25:56.210192,2025-06-11 10:26:27.601579,0 days 00:00:31.391387,relu,conv_lstm,64,2,0.17151887989321224,32,0.3007336185563207,48,4,1.2367560978767533e-05,7.460186669813444e-05,0.1089993120979892,gmp,64,18,0.5265573770491804,0.48755312689738917,COMPLETE
29,0.6864041090011597,2025-06-11 10:26:27.941577,2025-06-11 10:26:32.028570,0 days 00:00:04.086993,relu,lstm_conv,32,1,0.14465217884670048,32,0.26628054871258455,32,5,6.9601043076289424e-06,0.0004316980759898553,0.2732482431362776,gap,96,24,,,PRUNED
30,0.6890211701393127,2025-06-11 10:26:32.387570,2025-06-11 10:26:35.527890,0 days 00:00:03.140320,relu,lstm_conv,64,1,0.24518341277983746,32,0.23276581173733785,48,3,3.5503299575997123e-06,0.000324046344529319,0.1405389629731815,gmp,32,36,,,PRUNED
31,0.6917154788970947,2025-06-11 10:26:35.894405,2025-06-11 10:26:38.345330,0 days 00:00:02.450925,relu,lstm_conv,64,1,0.07829020094434483,64,0.1904796453671855,48,4,7.112218025823089e-06,0.0009808047055646447,0.2180665478465314,gmp,32,12,,,PRUNED
32,0.6941655278205872,2025-06-11 10:26:38.712329,2025-06-11 10:26:42.105323,0 days 00:00:03.392994,elu,lstm_conv,64,1,0.11449704527442577,32,0.3133852303849353,48,4,1.6333949094156664e-05,0.0015322584902640328,0.29912636164158324,gmp,32,12,,,PRUNED
33,-0.6058285073790398,2025-06-11 10:26:42.488322,2025-06-11 10:27:09.271434,0 days 00:00:26.783112,relu,lstm_conv,64,1,0.03391884877598775,64,0.3590448978628149,64,4,3.6923289767094857e-06,0.0005313104465635875,0.2280501450561348,gmp,32,18,0.5250121418164158,0.6563448694596236,COMPLETE
34,0.6849218010902405,2025-06-11 10:27:09.674434,2025-06-11 10:27:14.270424,0 days 00:00:04.595990,relu,lstm_conv,64,1,0.03426284585874195,32,0.36125306178192845,64,4,1.6292032797211483e-06,0.0005071378826096094,0.23235256966987272,gap,32,18,,,PRUNED
35,0.687799870967865,2025-06-11 10:27:14.668423,2025-06-11 10:27:23.271925,0 days 00:00:08.603502,relu,lstm_conv,32,1,0.012061769548806528,64,0.3468440681315878,48,3,3.3854580842428694e-06,0.00023966275233586347,0.19236066344417208,gmp,96,30,,,PRUNED
36,0.6955882906913757,2025-06-11 10:27:23.682925,2025-06-11 10:27:29.616691,0 days 00:00:05.933766,relu,conv_lstm,64,1,0.030293216528523847,128,0.2754560393319087,32,4,1.0051221386544467e-05,0.000805811989103295,0.1676010680309676,gmp,32,42,,,PRUNED
37,-0.6828224010960782,2025-06-11 10:27:30.049691,2025-06-11 10:28:09.965651,0 days 00:00:39.915960,relu,lstm_conv,32,1,0.13057932286163634,32,0.39763916266186666,64,5,5.5317810713035315e-06,0.0005491409958330611,0.26191350909536965,gmp,32,24,0.5209721677773422,0.8083941605839416,COMPLETE
38,0.6888604164123535,2025-06-11 10:28:10.395650,2025-06-11 10:28:18.241756,0 days 00:00:07.846106,relu,lstm_conv,32,1,0.08255487858891693,32,0.37744304391967254,64,5,3.578045614622443e-05,0.0001277873095868594,0.2657040386435664,gap,96,24,,,PRUNED
39,0.6851015686988831,2025-06-11 10:28:18.658756,2025-06-11 10:28:25.062915,0 days 00:00:06.404159,relu,conv_lstm,32,1,0.1230770421333988,64,0.39075961705806356,64,5,5.283612657552971e-06,6.988475859140731e-05,0.2570784916580704,gmp,32,24,,,PRUNED
40,0.6968437433242798,2025-06-11 10:28:25.511915,2025-06-11 10:28:31.955148,0 days 00:00:06.443233,relu,lstm_conv,32,2,0.13996644574107042,128,0.35716061558284756,64,2,7.753665222217067e-06,0.00036215333518171614,0.2309444325320291,gmp,32,30,,,PRUNED
41,0.6853302717208862,2025-06-11 10:28:32.413149,2025-06-11 10:28:38.031553,0 days 00:00:05.618404,relu,lstm_conv,32,1,0.1001136902104804,32,0.33231736292963193,64,4,3.41474692120062e-06,0.0005583452954030081,0.06832701695007001,gmp,32,18,,,PRUNED
42,-0.7474972191323693,2025-06-11 10:28:38.487552,2025-06-11 10:29:34.395835,0 days 00:00:55.908283,relu,lstm_conv,32,1,0.17850618859055115,32,0.3772181440693982,64,5,1.8953535367880808e-06,0.001244667290239313,0.28753022565154246,gmp,32,18,0.5228409469823274,0.9520340012143291,COMPLETE
43,-0.739172281039461,2025-06-11 10:29:34.837850,2025-06-11 10:30:11.803046,0 days 00:00:36.965196,relu,lstm_conv,32,1,0.20431884612003848,32,0.37221318619739896,64,5,1.2691071016303576e-06,0.0014722124486440942,0.28339448133311435,gmp,32,24,0.5213849287169042,0.9343065693430657,COMPLETE
44,-0.7530844669408415,2025-06-11 10:30:12.269045,2025-06-11 10:30:49.087855,0 days 00:00:36.818810,relu,lstm_conv,32,1,0.21293774536517218,32,0.3990727746373964,64,5,1.5231556477034558e-06,0.0012939424639600405,0.28525073864348927,gmp,32,24,0.523071852340145,0.9653284671532847,COMPLETE
45,-0.7560474308300394,2025-06-11 10:30:49.564854,2025-06-11 10:31:36.281793,0 days 00:00:46.716939,relu,lstm_conv,32,1,0.22038243416690304,32,0.3780691110846929,64,5,1.4487475596560194e-06,0.0013478527861028075,0.2851431170292216,gmp,32,24,0.5248600592690155,0.9695863746958637,COMPLETE
46,-0.5286209003870442,2025-06-11 10:31:36.740792,2025-06-11 10:32:05.978890,0 days 00:00:29.238098,relu,conv_lstm,32,1,0.22608759194691666,32,0.37056181312255165,64,5,1.3568189859238745e-06,0.0012727163888304656,0.284084341563831,gmp,64,30,0.530349478847333,0.5277608297742525,COMPLETE
47,0.6850406527519226,2025-06-11 10:32:06.466889,2025-06-11 10:32:10.159881,0 days 00:00:03.692992,relu,lstm_conv,32,2,0.26038274441152376,32,0.373705308548742,64,5,2.01868522007644e-06,0.00188068329776199,0.2835089266092695,gmp,32,24,,,PRUNED
48,0.6832177042961121,2025-06-11 10:32:10.657880,2025-06-11 10:32:48.775546,0 days 00:00:38.117666,relu,lstm_conv,32,1,0.1985579729944484,32,0.38193098388762975,64,5,1.1182365951766072e-06,0.001249796112791701,0.2948894570574438,gmp,32,24,,,PRUNED
49,0.0,2025-06-11 10:32:49.265545,2025-06-11 10:33:40.771425,0 days 00:00:51.505880,relu,conv_lstm,32,1,0.20710386867310918,32,0.34668115457569093,64,5,1.4961097851222904e-06,0.0015008495586268278,0.27953870105619744,gap,96,24,0.0,0.0,COMPLETE
