,0
stoch_%K,0.006065752759917535
bb_position,0.005984876056451964
buying_pressure,0.00541873913219304
roc_4h,0.003962958469812798
macd_rising,0.0037203283594161216
price_vs_vwap,0.00335638319382107
roc_24h,0.003032876379958823
volume_mean_20,0.002992438028225982
volume,0.0029115613247604477
atr_ratio,0.0027498079178293056
CCI,0.002183670993570345
bollinger_width,0.002102794290104774
bearish_scenario_4,0.00206235593837197
stoch_%D,0.0019006025314408648
macd_positive,0.0016579724210441886
adx,0.0015770957175786175
RSI,0.0012940272554491001
volatility_regime,0.0012940272554491001
trending_market,0.0012535889037163332
break_upper_band,0.001051397145052424
cci_overbought,0.001051397145052387
vol_spike_1_5x,0.00101095879331962
OBV,0.0008087670346557108
bollinger_upper,0.0006470136277246056
momentum_alignment,0.0006470136277246056
fear_greed_score,0.0006470136277245686
close_4h,0.0005661369242590345
macd_cross_down,0.0005256985725262305
volume_ratio,0.0005256985725262305
macd_cross_up,0.0004448218690606594
ema7_above_ema21,0.0004043835173278554
trend_alignment,0.00028306846212951725
volume_breakout,0.00024263011039675023
bearish_scenario_3,0.00016175340693117915
near_upper_band,8.087670346564509e-05
MACD_histogram,8.087670346560809e-05
rsi_4h,4.043835173284105e-05
bollinger_lower,4.043835173284105e-05
bullish_scenario_1,4.0438351732804044e-05
rsi_oversold,4.0438351732804044e-05
oversold_reversal,4.0438351732804044e-05
bullish_scenario_5,0.0
bearish_scenario_1,0.0
bullish_scenario_6,-4.043835173273003e-05
vwap_24h,-8.087670346553406e-05
bullish_scenario_3,-8.087670346553406e-05
ema_cross_up,-8.087670346553406e-05
overbought_reversal,-0.0001213150551983011
volume_breakdown,-0.0001213150551983011
above_sma50,-0.00012131505519833811
support_level,-0.00020219175866383518
bullish_scenario_4,-0.0002426301103966022
parkinson_vol,-0.0002426301103966392
bearish_scenario_2,-0.0002426301103966392
stoch_overbought,-0.00036394516559501433
ema_cross_down,-0.00036394516559501433
SMA_20,-0.0004043835173277814
cci_oversold,-0.0005256985725261195
close,-0.0005256985725261195
break_lower_band,-0.0005661369242589235
true_range,-0.0005661369242589235
EMA_7,-0.0005661369242589606
near_lower_band,-0.0005661369242589606
bearish_scenario_6,-0.0006470136277244946
bullish_scenario_2,-0.0006470136277244946
obv_rising_24h,-0.0006874519794572617
stoch_oversold,-0.0008087670346555997
rsi_overbought,-0.0008896437381212078
SMA_50,-0.0008896437381212078
EMA_21,-0.001132273848517884
above_sma20,-0.0014557806623801313
resistance_level,-0.002062355938371896
atr_14,-0.0024667394556997513
