,0
volatility_regime,14.667460441589355
near_lower_band,11.337518692016602
buying_pressure,8.204855918884277
macd_rising,7.624849796295166
stoch_%K,7.576419353485107
bearish_scenario_4,7.510191917419434
roc_4h,7.455305099487305
atr_14,7.432010650634766
near_upper_band,7.157918453216553
stoch_oversold,7.100666046142578
OBV,7.019104957580566
SMA_20,6.964450836181641
support_level,6.948135852813721
ema7_above_ema21,6.878765106201172
ema_cross_up,6.845231533050537
vol_spike_1_5x,6.7743940353393555
above_sma20,6.7257981300354
true_range,6.720076560974121
SMA_50,6.679959774017334
atr_ratio,6.575486183166504
volume,6.54087495803833
momentum_alignment,6.49057674407959
bollinger_upper,6.480632781982422
close_4h,6.3251566886901855
bb_position,6.178887844085693
vwap_24h,6.125683784484863
bollinger_width,5.967528820037842
trend_alignment,5.9427924156188965
MACD_histogram,5.892668724060059
resistance_level,5.852078437805176
rsi_4h,5.800394535064697
volume_mean_20,5.76795768737793
stoch_%D,5.762083053588867
CCI,5.761892318725586
parkinson_vol,5.7040486335754395
volume_ratio,5.690932273864746
bearish_scenario_6,5.67338228225708
bollinger_lower,5.658966541290283
close,5.655145168304443
price_vs_vwap,5.643260478973389
RSI,5.602229118347168
fear_greed_score,5.578329563140869
obv_rising_24h,5.555972576141357
roc_24h,5.549196243286133
EMA_21,5.547760009765625
ema_cross_down,5.462076663970947
adx,5.280675411224365
oversold_reversal,5.275107383728027
macd_cross_up,5.223914623260498
bullish_scenario_2,5.124019145965576
macd_cross_down,5.019766807556152
bullish_scenario_1,4.981494426727295
above_sma50,4.968524932861328
bearish_scenario_2,4.935214519500732
EMA_7,4.925097465515137
bullish_scenario_6,4.900237560272217
bullish_scenario_4,4.868537425994873
cci_oversold,4.841856956481934
overbought_reversal,4.803238868713379
bullish_scenario_3,4.784721374511719
break_lower_band,4.5413923263549805
bullish_scenario_5,4.54011344909668
volume_breakdown,4.497586250305176
bearish_scenario_3,4.363115310668945
bearish_scenario_1,3.782003879547119
rsi_overbought,3.774637222290039
volume_breakout,3.765565872192383
trending_market,3.6162021160125732
macd_positive,3.5391318798065186
stoch_overbought,3.271818161010742
break_upper_band,2.8502144813537598
rsi_oversold,2.106236219406128
cci_overbought,1.0932035446166992
