,0
roc_4h,0.03632020325585314
atr_ratio,0.035549022278577785
buying_pressure,0.035319257630795575
volume_ratio,0.034897118771574885
fear_greed_score,0.034721622445440074
stoch_%K,0.034696043833167274
volume,0.034471410250654325
stoch_%D,0.03390430425785131
adx,0.03347029742067579
CCI,0.03272344572834651
volume_mean_20,0.032679939516894074
roc_24h,0.03255945959257125
MACD_histogram,0.03215476763149087
RSI,0.031851210276692944
true_range,0.03166740049559028
price_vs_vwap,0.03157914178125212
parkinson_vol,0.031338954504220376
rsi_4h,0.030942389077971276
bollinger_width,0.030486465488426356
atr_14,0.029715374496122555
OBV,0.029268130438344035
bb_position,0.029214641601704207
bollinger_lower,0.022696573660899028
SMA_50,0.02259150660763444
bollinger_upper,0.02246250104528226
EMA_7,0.02178418747342952
close,0.021726839771982594
SMA_20,0.0214306781230494
EMA_21,0.021415389027151666
vwap_24h,0.021412448979493907
close_4h,0.02016499815363907
support_level,0.01903561659172561
resistance_level,0.01854170866863184
obv_rising_24h,0.003827716223781447
trending_market,0.0033085967518265576
macd_rising,0.003255886714252077
volatility_regime,0.002375819058228154
macd_positive,0.002220493597317326
above_sma50,0.002117860340885023
bearish_scenario_4,0.0019511022197041521
ema7_above_ema21,0.001917670491945248
trend_alignment,0.0019172573831124464
momentum_alignment,0.001716137126007477
stoch_overbought,0.0016497257935484768
cci_overbought,0.0013838802089044507
stoch_oversold,0.0013007519743819171
macd_cross_down,0.0012934977501332567
macd_cross_up,0.0012752224808236404
above_sma20,0.0012742549360990898
near_upper_band,0.0012494226995206036
bullish_scenario_6,0.0012123665720117787
vol_spike_1_5x,0.0010823001350976345
near_lower_band,0.0010512070461517716
cci_oversold,0.0010481612132054354
ema_cross_up,0.0009161023448411527
rsi_overbought,0.0008664360144400734
ema_cross_down,0.0008279114479638426
break_upper_band,0.000751645221159647
bullish_scenario_3,0.0006617387824798378
overbought_reversal,0.0006538069453617058
rsi_oversold,0.0005733208941835189
break_lower_band,0.0005388231734178963
bearish_scenario_6,0.0005262841003134382
bullish_scenario_1,0.00042503337266648703
oversold_reversal,0.0004016675769810714
bearish_scenario_2,0.00038226922854890725
bullish_scenario_2,0.00032553665593178265
bearish_scenario_3,0.0002772808041152563
volume_breakdown,0.00021849009854411956
volume_breakout,0.00020271570193429857
bullish_scenario_4,0.0001440053579065857
bearish_scenario_1,4.661489605057453e-05
bullish_scenario_5,3.7937789085390196e-05
