date,open,high,low,close,Volume BTC
2015-10-09 01:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 02:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 03:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 04:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 05:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 06:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 07:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 08:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 09:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 10:00:00,243.6,243.6,243.6,243.6,0.0
2015-10-09 15:00:00,244.0,244.0,244.0,244.0,0.0
2015-10-09 16:00:00,244.0,244.0,244.0,244.0,0.0
2015-10-09 22:00:00,245.39,245.39,245.39,245.39,0.0
2015-10-10 00:00:00,245.39,245.39,245.39,245.39,0.0
2015-10-10 05:00:00,245.45,245.45,245.45,245.45,0.0
2015-10-10 06:00:00,245.45,245.45,245.45,245.45,0.0
2015-10-10 07:00:00,245.45,245.45,245.45,245.45,0.0
2015-10-10 08:00:00,245.45,245.45,245.45,245.45,0.0
2015-10-10 09:00:00,245.45,245.45,245.45,245.45,0.0
2015-10-10 10:00:00,245.45,245.45,245.45,245.45,0.0
2015-10-10 17:00:00,245.37,245.37,245.37,245.37,0.0
2015-10-10 18:00:00,245.37,245.37,245.37,245.37,0.0
2015-10-10 19:00:00,245.37,245.37,245.37,245.37,0.0
2015-10-10 20:00:00,245.37,245.37,245.37,245.37,0.0
2015-10-10 22:00:00,245.75,245.75,245.75,245.75,0.0
2015-10-11 00:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 01:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 03:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 04:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 05:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 06:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 07:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 08:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 09:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 10:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 11:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 12:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 13:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 14:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-11 15:00:00,246.3,246.3,246.3,246.3,0.0
2015-10-12 01:00:00,249.0,249.0,249.0,249.0,0.0
2015-10-12 02:00:00,249.0,249.0,249.0,249.0,0.0
2015-10-12 05:00:00,248.71,248.71,248.71,248.71,0.0
2015-10-12 06:00:00,248.71,248.71,248.71,248.71,0.0
2015-10-12 07:00:00,248.71,248.71,248.71,248.71,0.0
2015-10-12 09:00:00,248.71,248.71,248.71,248.71,0.0
2015-10-13 04:00:00,245.75,245.75,245.75,245.75,0.0
2015-10-13 05:00:00,245.75,245.75,245.75,245.75,0.0
2015-10-14 02:00:00,251.0,251.0,251.0,251.0,0.0
2015-10-14 03:00:00,251.0,251.0,251.0,251.0,0.0
2015-10-14 10:00:00,251.15,251.15,251.15,251.15,0.0
2015-10-14 12:00:00,251.15,251.15,251.15,251.15,0.0
2015-10-15 00:00:00,253.0,253.0,253.0,253.0,0.0
2015-10-15 01:00:00,253.0,253.0,253.0,253.0,0.0
2015-10-15 06:00:00,255.9,255.9,255.9,255.9,0.0
2015-10-15 07:00:00,255.9,255.9,255.9,255.9,0.0
2015-10-15 10:00:00,255.47,255.47,255.47,255.47,0.0
2015-10-15 11:00:00,255.47,255.47,255.47,255.47,0.0
2015-10-15 12:00:00,255.47,255.47,255.47,255.47,0.0
2015-10-17 10:00:00,274.19,274.19,274.19,274.19,0.0
