date,open,high,low,close,Volume BTC,tradeCount
2015-02-19 19:00:00,225.0,225.0,225.0,225.0,0.999999,0
2015-02-19 21:00:00,244.0,244.0,244.0,244.0,0.0,0
2015-02-19 23:00:00,244.0,244.0,244.0,244.0,0.0,0
2015-02-20 00:00:00,244.0,244.0,244.0,244.0,0.0,0
2015-02-20 01:00:00,244.0,244.0,244.0,244.0,0.0,0
2015-02-20 02:00:00,244.0,244.0,244.0,244.0,0.0,0
2015-02-20 03:00:00,244.0,244.0,244.0,244.0,0.0,0
2015-02-20 04:00:00,244.0,244.0,244.0,244.0,0.0,0
2015-02-20 05:00:00,244.0,244.0,244.0,244.0,0.0,0
2015-02-20 11:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 12:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 13:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 14:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 15:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 16:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 17:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 18:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 19:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 20:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 21:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 22:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-20 23:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-21 00:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-21 01:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-21 02:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-21 03:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
2015-02-21 04:00:00,240.25018557,240.25018557,240.25,240.25,0.0,0
